Player,Pos,Squad,Min,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgR
Brenden Aaronson,"MF,FW",Leeds United,2372,1,3,4,1,0,0,2,0,3.9,3.9,4.2,8.1,43.0,151.0
Paxten Aaronson,"MF,DF",Eint Frankfurt,173,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,8.0,15.0
James Abankwah,DF,Udinese,63,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
George Abbott,MF,Tottenham,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Yunis Abdelhamid,DF,Reims,3330,1,2,3,1,0,0,6,0,2.4,2.4,1.0,3.4,40.0,10.0
Himad Abdelli,"MF,FW",Angers,2137,2,2,4,2,0,0,3,0,1.4,1.4,2.9,4.3,58.0,111.0
Salis Abdul Samed,MF,Lens,2894,1,1,2,1,0,0,6,1,0.9,0.9,1.6,2.5,33.0,44.0
Laurent Abergel,MF,Lorient,2342,0,1,1,0,0,0,7,1,0.5,0.5,1.3,1.8,13.0,14.0
Oliver Abildgaard,MF,Hellas Verona,592,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.6,2.0,8.0
Abner,DF,Betis,607,0,0,0,0,0,0,2,0,1.7,1.7,0.1,1.8,8.0,25.0
Zakaria Aboukhlal,"FW,MF",Toulouse,2473,10,5,15,10,0,0,4,0,11.5,11.5,3.3,14.7,100.0,276.0
Tammy Abraham,FW,Roma,2189,8,3,11,8,0,0,2,0,10.8,10.8,3.6,14.5,35.0,141.0
Christian Acella,MF,Cremonese,15,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Francesco Acerbi,DF,Inter,2425,0,2,2,0,0,0,4,0,1.0,1.0,1.1,2.1,39.0,32.0
Álvaro Aceves,GK,Valladolid,13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed Achi,FW,Nantes,36,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,2.0,1.0
Marcos Acuña,DF,Sevilla,1912,3,2,5,3,0,0,10,3,1.2,1.2,4.3,5.5,49.0,94.0
Che Adams,FW,Southampton,1992,5,3,8,5,0,0,1,0,6.6,6.6,2.8,9.4,17.0,115.0
Tyler Adams,MF,Leeds United,2156,0,0,0,0,0,0,6,1,0.1,0.1,1.4,1.5,19.0,20.0
Sargis Adamyan,"FW,MF",Köln,644,1,2,3,1,0,0,3,0,3.4,3.4,0.8,4.1,12.0,58.0
Tosin Adarabioyo,DF,Fulham,2085,1,0,1,1,0,0,4,0,0.7,0.7,0.4,1.1,16.0,3.0
Martin Adeline,"MF,FW",Reims,107,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1.0,1.0
Karim Adeyemi,"FW,MF",Dortmund,1386,6,5,11,6,0,1,9,0,5.0,4.3,3.7,8.0,49.0,131.0
Amine Adli,"FW,MF",Leverkusen,1435,5,3,8,5,0,0,2,2,5.0,5.0,1.7,6.7,46.0,137.0
Yacine Adli,"MF,FW",Milan,144,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.3,7.0,8.0
Michel Aebischer,"FW,MF",Bologna,1542,1,0,1,1,0,0,4,0,1.5,1.5,0.6,2.1,14.0,85.0
Felix Afena-Gyan,"FW,MF",Cremonese,817,0,0,0,0,0,0,4,0,1.9,1.9,0.1,2.0,22.0,54.0
Emmanuel Agbadou,DF,Reims,2388,0,3,3,0,0,0,5,3,1.7,1.7,2.4,4.1,15.0,8.0
Julen Agirrezabala,GK,Athletic Club,675,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Lucien Agoume,MF,Troyes,1094,0,1,1,0,0,0,5,0,0.8,0.8,1.1,1.9,9.0,10.0
Felix Agu,"DF,FW",Werder Bremen,49,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,2.0
Álvaro Aguado,MF,Valladolid,1888,1,2,3,1,0,0,4,0,1.0,1.0,2.2,3.2,29.0,50.0
Kevin Agudelo,"MF,FW",Spezia,2131,0,1,1,0,0,0,5,0,1.5,1.5,3.0,4.5,81.0,100.0
Nayef Aguerd,DF,West Ham,1595,2,0,2,2,0,0,4,0,2.2,2.2,0.5,2.7,2.0,4.0
Ruben Aguilar,DF,Monaco,1172,0,0,0,0,0,0,3,0,0.2,0.2,0.9,1.1,29.0,78.0
Amar Ahmed,FW,Troyes,20,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
Jean-Eudes Aholou,MF,Strasbourg,1300,3,1,4,3,0,0,4,1,1.2,1.2,0.9,2.1,25.0,37.0
Joseph Aidoo,DF,Celta Vigo,3119,3,0,3,3,0,0,6,1,1.0,1.0,0.1,1.1,15.0,2.0
Ola Aina,DF,Torino,876,1,1,2,1,0,0,5,0,0.8,0.8,2.1,2.9,35.0,43.0
Rayan Aït-Nouri,DF,Wolves,1076,1,0,1,1,0,0,4,0,0.7,0.7,1.0,1.7,30.0,76.0
Emanuel Aiwum,DF,Cremonese,1653,0,0,0,0,0,0,3,0,0.2,0.2,0.4,0.6,19.0,7.0
Kristoffer Ajer,DF,Brentford,763,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,10.0,12.0
Manuel Akanji,DF,Manchester City,2287,0,1,1,0,0,0,2,0,1.3,1.3,0.4,1.7,24.0,17.0
Nathan Aké,DF,Manchester City,1873,1,0,1,1,0,0,2,0,1.6,1.6,0.7,2.3,25.0,30.0
Sergio Akieme,DF,Almería,2297,1,0,1,1,0,0,5,0,1.5,1.5,2.0,3.5,60.0,84.0
Babatunde Akinsola,FW,Valladolid,11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0
Maghnes Akliouche,"MF,FW",Monaco,402,0,0,0,0,0,0,3,0,0.5,0.5,0.5,0.9,9.0,42.0
Paul Akouokou,"MF,DF",Betis,447,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,1.0,1.0
Jean-Daniel Akpa-Akpro,"MF,FW",Empoli,1356,1,1,2,1,0,0,9,2,1.5,1.5,1.0,2.4,19.0,37.0
Kevin Akpoguma,DF,Hoffenheim,1950,0,0,0,0,0,0,11,0,0.6,0.6,0.5,1.2,17.0,23.0
David Alaba,DF,Real Madrid,1838,1,3,4,1,0,0,3,0,0.8,0.8,1.1,1.9,16.0,60.0
Ángel Alarcón,FW,Barcelona,25,0,0,0,0,0,0,0,0,,,,,,
Tomás Alarcón,MF,Cádiz,223,0,0,0,0,0,0,2,1,0.0,0.0,0.1,0.1,2.0,6.0
Lucas Alario,"FW,MF",Eint Frankfurt,331,1,0,1,1,0,0,0,0,1.4,1.4,0.0,1.5,2.0,17.0
Jordi Alba,DF,Barcelona,1419,2,3,5,2,0,0,6,1,0.8,0.8,6.2,7.0,42.0,157.0
Luis Alberto,MF,Lazio,2442,6,7,13,5,1,2,4,0,4.4,2.7,7.0,9.7,73.0,94.0
Raúl Albiol,DF,Villarreal,2119,0,0,0,0,0,0,6,0,0.1,0.1,0.0,0.1,12.0,3.0
Marc Albrighton,"FW,MF",Leicester City,237,1,0,1,1,0,0,0,0,0.3,0.3,0.9,1.3,4.0,18.0
Thiago Alcántara,MF,Liverpool,1254,0,0,0,0,0,0,2,0,0.4,0.4,1.1,1.5,13.0,24.0
Carlos Alcaraz,"MF,FW",Southampton,1029,4,2,6,4,0,0,3,0,1.9,1.9,0.7,2.6,20.0,32.0
Rubén Alcaraz,MF,Cádiz,2043,3,0,3,1,2,3,11,1,4.0,1.6,1.3,2.9,30.0,20.0
Omar Alderete,DF,Getafe,2047,1,1,2,1,0,0,9,0,0.6,0.6,0.8,1.4,28.0,8.0
Iván Alejo,"MF,FW",Cádiz,1311,0,1,1,0,0,0,13,1,1.2,1.2,2.4,3.6,52.0,103.0
Doğan Alemdar,GK,Rennes,406,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0.0,0.0
Carles Aleñá,"MF,FW",Getafe,2119,2,2,4,2,0,0,12,1,2.3,2.3,1.6,3.9,24.0,78.0
Trent Alexander-Arnold,DF,Liverpool,2923,2,9,11,2,0,0,5,0,2.4,2.4,11.5,13.8,43.0,139.0
Alejandro Alfaro,MF,Elche,15,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Ángel Algobia,MF,Getafe,1138,0,0,0,0,0,0,3,0,0.3,0.3,0.6,0.9,10.0,11.0
Mohamed Ali Cho,"FW,MF",Real Sociedad,587,1,2,3,1,0,0,1,0,1.8,1.8,1.7,3.4,30.0,63.0
Faride Alidou,"DF,MF",Eint Frankfurt,182,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,8.0,24.0
Alisson,GK,Liverpool,3330,0,1,1,0,0,0,1,0,0.0,0.0,0.3,0.3,0.0,0.0
Jim Allevinah,"DF,FW",Clermont Foot,2244,1,1,2,1,0,0,2,0,2.5,2.5,2.0,4.5,82.0,141.0
Dele Alli,MF,Everton,40,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
Domingos André Ribeiro Almeida,MF,Valencia,2539,2,4,6,2,0,0,3,0,1.4,1.4,3.4,4.9,74.0,71.0
Miguel Almirón,FW,Newcastle Utd,2491,11,2,13,11,0,0,2,0,8.0,8.0,3.2,11.1,77.0,264.0
Marcos Alonso,DF,Barcelona,1172,1,0,1,1,0,0,3,0,0.9,0.9,0.3,1.2,26.0,12.0
Mickaël Alphonse,DF,Ajaccio,1361,0,0,0,0,0,0,2,1,0.5,0.5,0.7,1.2,30.0,34.0
Éder Álvarez Balanta,"MF,FW",Schalke 04,238,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,3.0,0.0
Carlos Álvarez,MF,Sevilla,10,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0
Gastón Álvarez,DF,Getafe,1501,2,0,2,2,0,0,7,1,0.5,0.5,0.2,0.8,11.0,27.0
Julián Álvarez,"FW,MF",Manchester City,1465,9,0,9,8,1,1,0,0,7.0,6.2,1.8,8.0,38.0,99.0
Agustín Álvarez Martínez,"FW,MF",Sassuolo,368,1,1,2,1,0,0,1,0,1.5,1.5,0.4,1.9,2.0,19.0
Yeray Álvarez,DF,Athletic Club,2332,1,1,2,1,0,0,7,1,0.8,0.8,1.1,1.9,32.0,8.0
Ibrahim Amadou,"DF,MF",Angers,424,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,0.0,5.0
Selim Amallah,"MF,FW",Valladolid,267,2,1,3,2,0,0,2,1,0.9,0.9,0.3,1.1,11.0,9.0
Daniel Amartey,DF,Leicester City,1610,0,0,0,0,0,0,1,0,1.1,1.1,0.5,1.6,23.0,5.0
Amath,"MF,FW",Mallorca,1227,2,0,2,2,0,0,2,1,2.7,2.7,0.8,3.5,33.0,69.0
Jordan Amavi,DF,Getafe,200,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,4.0,5.0
Lukáš Ambros,MF,Wolfsburg,17,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Kelvin Amian,DF,Spezia,2372,0,1,1,0,0,0,7,1,2.7,2.7,2.3,5.0,53.0,72.0
Nadiem Amiri,"MF,FW",Leverkusen,977,4,1,5,3,1,1,6,0,1.9,1.1,1.1,2.2,30.0,30.0
Samuel Amo-Ameyaw,MF,Southampton,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0
Ethan Ampadu,"DF,MF",Spezia,2639,0,1,1,0,0,0,10,1,1.1,1.1,1.1,2.2,28.0,10.0
Sofyan Amrabat,MF,Fiorentina,1998,0,1,1,0,0,0,11,0,0.5,0.5,1.1,1.6,36.0,24.0
Ayoub Amraoui,"DF,FW",Nice,294,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,6.0,18.0
Joachim Andersen,DF,Crystal Palace,2782,1,0,1,1,0,0,8,0,1.8,1.8,1.3,3.1,16.0,7.0
Elliot Anderson,"MF,FW",Newcastle Utd,410,0,1,1,0,0,0,0,0,1.0,1.0,1.3,2.3,23.0,35.0
Felipe Anderson,FW,Lazio,2958,9,2,11,9,0,0,3,0,6.0,6.0,4.8,10.9,83.0,224.0
Benjamin André,MF,Lille,2916,1,1,2,1,0,0,12,0,1.6,1.6,1.8,3.4,41.0,46.0
Marcos André,"FW,MF",Valencia,447,1,0,1,1,0,0,2,1,1.5,1.3,0.4,1.8,2.0,20.0
Komnen Andrić,FW,Clermont Foot,1446,4,3,7,3,1,2,4,0,5.5,3.9,0.9,4.8,8.0,88.0
Robert Andrich,MF,Leverkusen,2406,2,2,4,2,0,0,7,0,1.6,1.6,1.2,2.8,12.0,8.0
Angeliño,DF,Hoffenheim,2617,0,8,8,0,0,0,2,0,1.1,1.1,7.2,8.3,24.0,120.0
Fabrizio Angileri,DF,Getafe,585,0,0,0,0,0,0,2,1,0.1,0.1,0.0,0.1,4.0,14.0
Jaidon Anthony,"MF,FW",Bournemouth,1257,3,1,4,3,0,0,2,0,2.2,2.2,1.0,3.3,31.0,72.0
Janis Antiste,FW,Sassuolo,52,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,0.0,2.0
Waldemar Anton,DF,Stuttgart,2934,1,2,3,1,0,0,4,0,1.6,1.6,1.4,3.0,56.0,52.0
Josep Antoni Gayá,"DF,MF",Mallorca,98,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
José Antonio,"MF,DF",Cádiz,46,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,2.0
Marcos Antônio,MF,Lazio,594,1,1,2,1,0,0,2,0,1.2,1.2,0.3,1.5,1.0,8.0
Michail Antonio,FW,West Ham,1829,5,3,8,5,0,0,2,0,6.6,6.6,1.3,7.8,49.0,120.0
Antony,FW,Manchester Utd,1802,4,2,6,4,0,0,5,0,6.6,6.6,2.9,9.4,95.0,168.0
Valentin Antov,DF,Monza,306,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2.0,3.0
Christopher Antwi-Adjei,"FW,MF",Bochum,1981,3,6,9,3,0,0,2,0,2.2,2.2,3.8,6.0,67.0,231.0
Anuar,"MF,FW",Valladolid,210,1,0,1,1,0,0,1,0,0.4,0.4,0.5,0.8,6.0,4.0
Houssem Aouar,MF,Lyon,526,1,1,2,1,0,0,2,0,1.4,1.4,1.1,2.6,12.0,36.0
Adil Aouchiche,MF,Lorient,250,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,16.0,20.0
Dennis Appiah,"DF,MF",Nantes,795,0,0,0,0,0,0,1,0,0.4,0.4,0.2,0.6,15.0,51.0
Stredair Appuah,"DF,MF",Nantes,66,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,7.0,10.0
Mauro Arambarri,MF,Getafe,992,0,1,1,0,0,0,5,1,0.2,0.2,1.5,1.8,8.0,7.0
Charles Aránguiz,MF,Leverkusen,493,1,0,1,1,0,0,1,0,0.3,0.3,0.2,0.5,3.0,7.0
Ronald Araújo,DF,Barcelona,1800,0,2,2,0,0,0,5,1,2.1,2.1,0.8,2.9,29.0,11.0
Cameron Archer,"FW,MF",Aston Villa,49,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0
Taïryk Arconte,FW,Brest,128,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,1.0,8.0
Alphonse Areola,GK,West Ham,309,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Adu Ares,"FW,MF",Athletic Club,84,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,8.0,19.0
Joe Aribo,"MF,FW",Southampton,1224,2,0,2,2,0,0,2,0,1.5,1.5,0.8,2.3,19.0,64.0
Adam Armstrong,"FW,MF",Southampton,1335,2,1,3,2,0,0,2,0,2.1,2.1,1.3,3.3,39.0,70.0
Stuart Armstrong,"MF,FW",Southampton,1408,2,1,3,2,0,0,6,0,2.4,2.4,2.2,4.7,61.0,88.0
Marko Arnautović,FW,Bologna,1530,10,0,10,7,3,3,5,0,7.2,4.8,1.9,6.7,13.0,116.0
Maximilian Arnold,MF,Wolfsburg,2767,5,3,8,2,3,5,5,0,5.0,1.0,4.9,5.9,29.0,19.0
Mohamed El Arouch,MF,Lyon,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
Sergio Arribas,"MF,FW",Real Madrid,19,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0.0,0.0
Kepa Arrizabalaga,GK,Chelsea,2565,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Roberto Arroyo,MF,Valladolid,15,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,4.0
Tolgay Arslan,MF,Udinese,1211,1,0,1,1,0,0,3,0,2.2,2.2,1.6,3.8,45.0,37.0
Ricard Artero,"MF,FW",Girona,133,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,4.0,9.0
Santiago Arzamendia,"DF,MF",Cádiz,483,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,8.0,22.0
Takuma Asano,"FW,MF",Bochum,1713,3,3,6,3,0,0,1,0,5.6,5.6,2.1,7.7,32.0,119.0
Santiago Ascacíbar,MF,Cremonese,727,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,1.0,6.0
Sergio Asenjo,GK,Valladolid,900,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Marco Asensio,"FW,MF",Real Madrid,1442,9,6,15,9,0,1,1,0,6.3,5.5,4.9,10.4,56.0,108.0
Kristoffer Askildsen,MF,Lecce,728,0,0,0,0,0,0,3,0,0.5,0.5,0.3,0.9,10.0,17.0
Fisnik Asllani,FW,Hoffenheim,167,0,0,0,0,0,0,0,0,1.7,1.7,0.2,1.8,4.0,19.0
Kristjan Asllani,MF,Inter,592,0,0,0,0,0,0,2,0,0.5,0.5,0.9,1.5,6.0,6.0
Iago Aspas,FW,Celta Vigo,2868,12,3,15,10,2,3,6,0,11.0,8.7,5.6,14.3,80.0,239.0
Lorenz Assignon,DF,Rennes,261,0,1,1,0,0,0,3,0,0.3,0.3,0.3,0.6,10.0,13.0
Youcef Atal,"DF,MF",Nice,779,1,0,1,1,0,0,1,0,1.0,1.0,1.3,2.3,38.0,63.0
Valentin Atangana Edoa,MF,Reims,174,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,5.0,6.0
Emil Audero,GK,Sampdoria,2250,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Tommaso Augello,DF,Sampdoria,3061,2,5,7,2,0,0,3,0,1.0,1.0,3.9,4.8,84.0,153.0
Carlos Augusto,DF,Monza,3083,6,5,11,6,0,0,4,0,4.4,4.4,3.7,8.1,87.0,151.0
Serge Aurier,DF,Nott'ham Forest,1943,1,0,1,1,0,0,2,0,0.8,0.8,1.0,1.8,37.0,50.0
Mathias Autret,"MF,FW",Auxerre,1290,2,2,4,1,1,1,0,0,2.5,1.7,2.0,3.7,20.0,58.0
Ezequiel Ávila,"FW,MF",Osasuna,1709,8,2,10,6,2,3,7,1,7.0,4.7,1.8,6.5,23.0,96.0
Cédric Avinel,DF,Ajaccio,1794,1,0,1,1,0,0,2,1,1.0,1.0,0.0,1.0,3.0,1.0
Taiwo Awoniyi,FW,Nott'ham Forest,1404,10,1,11,10,0,0,2,0,6.6,6.6,1.1,7.7,18.0,55.0
Yasin Ayari,MF,Brighton,67,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,0.0,2.0
Mehmet Aydin,"DF,FW",Schalke 04,567,0,0,0,0,0,0,0,0,0.2,0.2,0.8,1.0,9.0,21.0
André Ayew,"FW,MF",Nott'ham Forest,316,0,0,0,0,0,1,1,0,1.0,0.3,0.0,0.3,3.0,16.0
Jordan Ayew,"FW,MF",Crystal Palace,2714,4,3,7,4,0,0,5,0,3.2,3.2,3.2,6.4,83.0,174.0
Kaan Ayhan,DF,Sassuolo,545,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,8.0,0.0
Luke Ayling,DF,Leeds United,2054,2,1,3,2,0,0,3,0,3.2,3.2,2.0,5.2,28.0,100.0
Ayman Azhil,MF,Leverkusen,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Sardar Azmoun,"FW,MF",Leverkusen,927,4,1,5,4,0,0,1,0,3.5,3.5,2.5,6.0,11.0,45.0
César Azpilicueta,DF,Chelsea,1527,0,0,0,0,0,0,3,0,0.4,0.4,1.1,1.5,23.0,81.0
Sanoussy Ba,DF,RB Leipzig,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Iddrisu Baba,"MF,DF",Mallorca,1705,0,0,0,0,0,0,5,0,0.6,0.6,0.2,0.8,3.0,8.0
Srđan Babić,DF,Almería,2998,3,0,3,3,0,0,5,0,1.2,1.2,0.3,1.5,21.0,5.0
Édgar Badía,GK,Elche,3240,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Baena,"MF,FW",Villarreal,1947,6,2,8,6,0,0,13,1,3.9,3.9,5.2,9.1,50.0,110.0
Jaime Báez,DF,Cremonese,96,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,5.0,8.0
Leon Bailey,"FW,MF",Aston Villa,1967,4,4,8,4,0,0,4,0,5.3,5.3,4.8,10.1,85.0,182.0
Eric Bailly,DF,Marseille,543,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,4.0,4.0
Dénys Bain,DF,Auxerre,126,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Baiye,MF,Clermont Foot,51,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.0
Stefan Bajcetic,MF,Liverpool,526,1,0,1,1,0,0,2,0,0.8,0.8,0.4,1.2,10.0,1.0
Cédric Bakambu,MF,Marseille,59,0,1,1,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,4.0
Tiemoué Bakayoko,MF,Milan,41,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
Mitchel Bakker,"DF,MF",Leverkusen,1659,3,2,5,3,0,0,6,1,1.7,1.7,2.0,3.6,28.0,65.0
Ridle Baku,"DF,FW",Wolfsburg,2580,5,3,8,5,0,0,6,0,2.9,2.9,4.1,7.0,50.0,157.0
Tommaso Baldanzi,MF,Empoli,1772,4,0,4,4,0,0,2,0,2.4,2.4,1.8,4.2,57.0,94.0
Alejandro Balde,DF,Barcelona,2471,1,6,7,1,0,0,4,0,1.9,1.9,4.9,6.8,96.0,234.0
Thierno Balde,"DF,MF",Troyes,2153,0,1,1,0,0,0,1,0,0.3,0.3,1.1,1.4,66.0,118.0
Carlos Baleba,MF,Lille,478,0,0,0,0,0,0,3,1,0.5,0.5,0.1,0.6,16.0,12.0
Mikel Balenziaga,DF,Athletic Club,115,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0
Leonardo Balerdi,DF,Marseille,2639,0,1,1,0,0,0,9,1,1.3,1.3,0.2,1.4,15.0,19.0
Dominic Ballard,"FW,MF",Southampton,26,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
Iván Balliu,DF,Rayo Vallecano,3232,0,0,0,0,0,0,6,0,0.3,0.3,2.8,3.1,75.0,147.0
Fodé Ballo-Touré,DF,Milan,523,1,0,1,1,0,0,0,0,0.6,0.6,0.2,0.9,11.0,31.0
Folarin Balogun,FW,Reims,2999,21,2,23,15,6,7,5,0,26.6,21.0,3.8,24.8,56.0,283.0
Abdoulaye Bamba,DF,Angers,1364,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,8.0,19.0
Jonathan Bamba,FW,Lille,2783,6,7,13,6,0,0,6,0,8.2,8.2,6.5,14.7,111.0,345.0
Patrick Bamford,FW,Leeds United,1515,4,2,6,4,0,2,3,0,8.6,7.0,1.0,8.0,17.0,96.0
Lameck Banda,"FW,MF",Lecce,1636,2,1,3,2,0,0,6,0,3.1,3.1,1.3,4.5,86.0,160.0
Filippo Bandinelli,MF,Empoli,2263,2,0,2,2,0,0,10,0,1.7,1.7,2.6,4.4,40.0,89.0
Léo Baptistão,"FW,MF",Almería,1726,5,1,6,5,0,0,7,0,4.9,4.9,1.2,6.2,38.0,83.0
Shandon Baptiste,MF,Brentford,618,0,1,1,0,0,0,3,1,0.4,0.4,1.1,1.4,8.0,23.0
Andrea Barberis,MF,Monza,338,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.5,3.0,0.0
Tommaso Barbieri,DF,Juventus,109,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,4.0
Bradley Barcola,"FW,MF",Lyon,1440,5,8,13,5,0,0,3,0,3.4,3.4,3.9,7.4,51.0,156.0
Melvin Bard,DF,Nice,2456,0,0,0,0,0,0,6,0,0.5,0.5,0.9,1.4,61.0,126.0
Francesco Bardi,GK,Bologna,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Keidi Bare,MF,Espanyol,503,0,1,1,0,0,0,0,0,0.6,0.6,0.2,0.8,6.0,11.0
Nicolò Barella,MF,Inter,2613,6,6,12,6,0,0,6,0,3.2,3.2,5.6,8.8,76.0,162.0
Kike Barja,"FW,MF",Osasuna,1312,1,6,7,1,0,0,1,0,1.2,1.2,3.9,5.1,61.0,185.0
Ross Barkley,"MF,FW",Nice,960,4,2,6,4,0,0,1,0,4.3,4.3,2.4,6.7,30.0,46.0
Aymen Barkok,MF,Mainz 05,584,0,1,1,0,0,0,1,0,0.5,0.5,0.9,1.4,17.0,28.0
Harvey Barnes,"FW,MF",Leicester City,2711,13,1,14,13,0,0,3,0,8.9,8.9,3.1,12.0,100.0,257.0
Leandro Barreiro Martins,MF,Mainz 05,2141,4,3,7,4,0,0,5,0,3.9,3.9,2.2,6.1,17.0,49.0
Enzo Barrenechea,MF,Juventus,158,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1.0,2.0
Ander Barrenetxea,"FW,DF",Real Sociedad,878,3,1,4,3,0,0,4,0,3.0,3.0,1.2,4.2,36.0,72.0
Mickaël Barreto,MF,Ajaccio,1325,1,1,2,1,0,0,1,0,0.9,0.9,1.9,2.8,26.0,53.0
Pablo Barrios,MF,Atlético Madrid,724,0,1,1,0,0,0,4,0,0.5,0.5,0.7,1.2,16.0,27.0
Musa Barrow,"FW,MF",Bologna,1960,3,8,11,3,0,0,3,0,3.0,3.0,4.7,7.7,68.0,141.0
Federico Baschirotto,DF,Lecce,3330,3,0,3,3,0,0,6,0,1.9,1.9,0.7,2.6,12.0,12.0
Toma Bašić,MF,Lazio,513,1,0,1,1,0,0,2,0,1.8,1.8,0.4,2.2,14.0,29.0
Alberto Basso,MF,Cremonese,16,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
Gil Bastião Dias,FW,Stuttgart,398,1,0,1,1,0,0,0,0,0.5,0.5,0.7,1.2,16.0,33.0
Alessandro Bastoni,DF,Inter,2157,0,2,2,0,0,0,3,0,1.0,1.0,2.7,3.7,47.0,44.0
Simone Bastoni,"MF,DF",Spezia,1189,2,4,6,2,0,0,7,0,1.1,1.1,1.7,2.8,20.0,65.0
Rodrigo Battaglia,MF,Mallorca,686,0,0,0,0,0,0,5,0,0.2,0.2,0.0,0.2,3.0,3.0
Maximilian Bauer,DF,Augsburg,1846,0,1,1,0,0,0,8,0,1.6,1.6,0.4,2.0,11.0,2.0
Oliver Baumann,GK,Hoffenheim,3060,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
