Player,Pos,Squad,Min,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgR
Matheus Nunes,MF,Wolves,2467,1,1,2,1,0,0,2,1,2.4,2.4,2.2,4.7,59.0,129.0
Darwin Núñez,FW,Liverpool,1695,9,3,12,9,0,0,1,1,12.1,12.1,5.4,17.5,61.0,181.0
Unai Núñez,DF,Celta Vigo,3151,0,0,0,0,0,0,8,0,1.2,1.2,0.1,1.3,31.0,5.0
Ethan Nwaneri,FW,Arsenal,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Gerzino Nyamsi,DF,Strasbourg,1578,1,1,2,1,0,0,4,1,1.5,1.5,0.1,1.6,13.0,3.0
Ørjan Nyland,GK,RB Leipzig,180,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.0
M'Bala Nzola,FW,Spezia,2653,13,2,15,10,3,3,8,0,11.0,8.6,2.5,11.1,50.0,215.0
Christian Nørgaard,MF,Brentford,1763,1,3,4,1,0,0,6,0,1.6,1.6,3.1,4.7,4.0,8.0
Lewis O'Brien,MF,Nott'ham Forest,584,1,0,1,1,0,0,2,0,0.3,0.3,0.2,0.5,13.0,3.0
Pedro Obiang,MF,Sassuolo,876,0,1,1,0,0,0,2,0,0.4,0.4,0.2,0.6,0.0,6.0
Jan Oblak,GK,Atlético Madrid,2492,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Ocampo,"MF,FW",Cádiz,1119,1,1,2,1,0,0,2,0,0.5,0.5,1.7,2.2,40.0,81.0
Lucas Ocampos,"FW,MF",Sevilla,1165,4,0,4,1,3,3,7,0,4.5,2.1,1.4,3.5,33.0,113.0
Guillermo Ochoa,GK,Salernitana,1800,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Wilson Odobert,"MF,FW",Troyes,1764,4,2,6,4,0,0,0,0,2.6,2.6,1.8,4.4,72.0,132.0
Álvaro Odriozola,DF,Real Madrid,39,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,4.0,5.0
Tim Oermann,DF,Bochum,194,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Odeluga Offiah,DF,Brighton,25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
Angelo Ogbonna,DF,West Ham,1237,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0.0,2.0
Florent Ogier,DF,Clermont Foot,1701,0,1,1,0,0,0,4,0,0.2,0.2,1.3,1.5,4.0,3.0
Marios Oikonomou,DF,Sampdoria,220,0,0,0,0,0,0,3,0,0.3,0.3,0.0,0.3,0.0,0.0
David Okereke,"FW,MF",Cremonese,2266,7,0,7,6,1,1,4,0,5.9,5.2,1.1,6.3,56.0,144.0
Caleb Okoli,DF,Atalanta,960,0,0,0,0,0,0,3,0,0.5,0.5,0.0,0.5,4.0,12.0
Olasagasti,"MF,DF",Real Sociedad,65,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,3.0
Lucas Olaza,DF,Valladolid,1494,0,1,1,0,0,0,3,0,0.4,0.4,1.0,1.4,12.0,90.0
Finn Ole Becker,MF,Hoffenheim,513,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.7,6.0,15.0
Mathias Olesen,MF,Köln,478,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2.0,11.0
Michael Olise,"FW,MF",Crystal Palace,2749,2,11,13,2,0,0,2,0,2.9,2.9,8.7,11.6,111.0,243.0
Brian Oliván,DF,Espanyol,2403,1,7,8,1,0,0,7,0,0.6,0.6,4.3,4.9,48.0,139.0
Lucas Oliveira Rosa,DF,Valladolid,931,0,1,1,0,0,0,3,0,0.4,0.4,1.0,1.4,24.0,61.0
Mathías Olivera,DF,Napoli,1643,2,2,4,2,0,0,2,0,0.7,0.7,2.1,2.8,60.0,68.0
Dani Olmo,"MF,FW",RB Leipzig,1282,2,5,7,2,0,0,2,0,2.9,2.9,4.5,7.4,34.0,86.0
Jan Olschowsky,GK,M'Gladbach,360,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Robin Olsen,GK,Aston Villa,281,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Warmed Omari,DF,Rennes,1363,0,0,0,0,0,0,2,1,0.6,0.6,0.4,1.0,4.0,0.0
Ado Onaiwu,FW,Toulouse,1082,2,1,3,2,0,0,0,0,1.6,1.6,1.1,2.7,11.0,86.0
Amadou Onana,MF,Everton,2488,1,2,3,1,0,0,9,0,3.0,3.0,2.6,5.6,27.0,49.0
André Onana,GK,Inter,2160,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0.0,0.0
Jean Onana,"MF,DF",Lens,810,0,0,0,0,0,0,3,0,0.4,0.4,0.4,0.8,12.0,18.0
Karim Onisiwo,"FW,MF",Mainz 05,2539,10,2,12,10,0,0,4,0,8.2,8.2,3.4,11.6,72.0,220.0
Josh Onomah,MF,Fulham,15,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
Paul Onuachu,FW,Southampton,407,0,0,0,0,0,0,0,0,1.3,1.3,0.1,1.4,1.0,22.0
Frank Onyeka,MF,Brentford,848,0,2,2,0,0,0,0,0,1.0,1.0,0.6,1.6,9.0,21.0
Loïs Openda,FW,Lens,2517,21,4,25,20,1,1,2,0,18.4,17.6,4.0,21.6,61.0,206.0
Willi Orban,DF,RB Leipzig,2951,4,0,4,4,0,0,3,0,3.0,3.0,0.4,3.4,16.0,9.0
Ivan Ordets,DF,Bochum,2449,0,0,0,0,0,0,4,0,1.4,1.4,0.8,2.1,3.0,14.0
Divock Origi,FW,Milan,1027,2,1,3,2,0,0,1,0,2.1,2.1,1.2,3.3,24.0,79.0
Aimar Oroz,"MF,FW",Osasuna,2013,3,6,9,2,1,1,6,0,3.6,2.8,2.8,5.5,35.0,144.0
Mislav Oršić,MF,Southampton,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Riccardo Orsolini,FW,Bologna,2124,11,4,15,8,3,3,8,2,10.5,8.1,3.1,11.2,53.0,212.0
Stefan Ortega,GK,Manchester City,270,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Pedro Ortiz,MF,Sevilla,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Jordi Osei-Tutu,"DF,FW",Bochum,749,0,0,0,0,0,0,3,0,0.7,0.7,0.2,0.8,25.0,39.0
Victor Osimhen,FW,Napoli,2566,26,4,30,24,2,3,4,0,21.3,18.9,2.8,21.8,43.0,196.0
Patrick Osterhage,MF,Bochum,1029,0,0,0,0,0,0,3,0,0.3,0.3,0.3,0.6,6.0,23.0
Paulo Otávio,DF,Wolfsburg,2041,0,5,5,0,0,0,7,0,0.8,0.8,2.7,3.5,41.0,84.0
Remi Oudin,"FW,MF",Lecce,1321,3,0,3,3,0,0,3,0,2.0,2.0,2.3,4.3,24.0,54.0
Zinédine Ould Khaled,"MF,FW",Angers,51,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0.0,2.0
Thomas Ouwejan,DF,Schalke 04,903,0,1,1,0,0,0,1,0,0.1,0.1,1.2,1.4,14.0,21.0
Reece Oxford,DF,Augsburg,94,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.0
Alex Oxlade-Chamberlain,"FW,MF",Liverpool,335,1,0,1,1,0,0,0,0,1.3,1.3,0.9,2.2,11.0,28.0
Mikel Oyarzabal,"FW,MF",Real Sociedad,1214,4,1,5,2,2,3,1,0,4.6,2.3,2.2,4.5,27.0,122.0
