Player,Fls,Fld,Recov,aerWon,aerLost
Ludwig Augustinsson,1,1,13,4,1
Carlos Augusto,41,19,157,57,33
Serge Aurier,18,19,126,46,32
Mathias Autret,7,4,73,5,13
Ezequiel Ávila,25,35,54,35,50
Cédric Avinel,12,2,93,38,15
Taiwo Awoniyi,24,19,56,20,61
Yasin Ayari,0,3,3,0,1
Mehmet Aydin,6,6,49,13,17
André Ayew,3,8,9,14,22
Jordan Ayew,48,90,166,50,92
Kaan Ayhan,4,8,28,2,7
Luke Ayling,15,35,152,47,57
Ayman Azhil,0,0,0,0,0
Sardar Azmoun,17,1,33,22,46
César Azpilicueta,27,7,59,29,19
Sanoussy Ba,0,0,0,0,0
Iddrisu Baba,31,30,122,37,28
Srđan Babić,24,9,136,71,46
Loïc Bade,13,4,97,34,27
Loïc Bade,3,1,4,2,2
Édgar Badía,1,6,33,8,1
Benoît Badiashile,9,6,76,35,14
Benoît Badiashile,10,4,67,21,7
Alex Baena,58,56,100,1,26
Jaime Báez,1,1,5,1,0
Leon Bailey,29,22,72,24,46
Eric Bailly,10,5,42,15,15
Dénys Bain,2,1,5,3,1
Brandon Baiye,0,0,2,0,1
Stefan Bajcetic,7,9,40,9,5
Nedim Bajrami,6,6,49,2,7
Nedim Bajrami,6,9,44,2,4
Cédric Bakambu,2,1,5,4,3
Tiemoué Bakayoko,3,1,6,1,1
Mitchel Bakker,18,14,114,12,13
Ridle Baku,27,32,156,22,31
Tommaso Baldanzi,12,37,69,3,9
Alejandro Balde,27,29,145,19,18
Thierno Balde,8,34,143,7,20
Carlos Baleba,13,18,38,7,8
Mikel Balenziaga,3,0,6,0,0
Leonardo Balerdi,53,21,204,70,41
Dominic Ballard,0,0,2,1,4
Iván Balliu,42,34,145,29,37
Fodé Ballo-Touré,5,13,33,13,5
Folarin Balogun,38,54,86,14,57
Abdoulaye Bamba,10,13,68,17,14
Jonathan Bamba,33,59,200,20,35
Patrick Bamford,25,27,50,36,42
Lameck Banda,31,37,82,7,32
Filippo Bandinelli,53,37,138,10,19
Léo Baptistão,30,23,104,27,40
Shandon Baptiste,11,12,45,6,7
Antonín Barák,0,0,2,0,0
Antonín Barák,13,17,76,18,31
Andrea Barberis,1,2,16,2,2
Tommaso Barbieri,5,4,2,0,2
Bradley Barcola,24,7,60,16,32
Melvin Bard,30,20,180,33,23
Francesco Bardi,0,0,0,0,0
Keidi Bare,11,13,25,5,9
Nicolò Barella,32,45,178,20,15
Kike Barja,18,15,65,8,11
Ross Barkley,14,15,58,4,12
Aymen Barkok,17,4,52,15,14
Harvey Barnes,38,37,101,29,57
Leandro Barreiro Martins,48,33,142,39,43
Enzo Barrenechea,3,1,9,1,1
Ander Barrenetxea,23,14,74,11,15
Mickaël Barreto,20,8,100,9,7
Pablo Barrios,7,12,49,6,9
Musa Barrow,20,19,80,12,34
Federico Baschirotto,37,11,204,91,64
Toma Bašić,12,17,32,14,6
Alberto Basso,0,0,0,1,0
Gil Bastião Dias,6,5,30,7,8
Alessandro Bastoni,19,15,117,39,23
Simone Bastoni,29,12,87,12,9
Rodrigo Battaglia,11,11,29,11,8
Maximilian Bauer,24,23,105,71,51
Oliver Baumann,0,0,71,16,0
Timo Baumgartl,11,6,41,19,10
Julian Baumgartlinger,5,9,39,7,9
Christoph Baumgartner,66,49,142,72,75
Cyrille Bayala,29,28,150,41,57
Brian Bayeye,1,1,12,0,1
Noah Joel Sarenren Bazee,1,1,1,0,4
Gavin Bazunu,1,2,39,13,0
Bebé,2,2,6,0,1
Ihlas Bebou,22,9,65,28,54
Rodrigo Becão,38,32,157,63,28
Mads Bech Sørensen,0,0,0,1,0
Julius Beck,1,0,1,0,1
Sheraldo Becker,29,26,86,16,49
Jan Bednarek,15,7,98,40,16
Jan Bednarek,1,1,4,0,0
