Player,Cmp,Att,Cmp%,TotDist,PrgDist,KP,pass1/3,PPA,CrsPA,PrgP
Brenden Aaronson,592,797,74.3,7577,2182,46,47,16,4,86
Paxten Aaronson,51,71,71.8,659,109,1,3,0,0,6
James Abankwah,23,29,79.3,375,79,0,0,0,0,0
George Abbott,1,1,100.0,8,0,0,0,0,0,0
Yunis Abdelhamid,1679,2031,82.7,32967,13407,13,155,5,0,215
Himad Abdelli,1043,1257,83.0,18273,4649,36,124,26,8,151
Salis Abdul Samed,1819,1981,91.8,28679,7020,17,182,17,3,165
Laurent Abergel,1308,1483,88.2,22287,7579,14,144,11,0,143
Oliver Abildgaard,115,195,59.0,1943,930,6,17,3,2,15
Matthis Abline,69,105,65.7,1187,235,5,7,3,1,8
Matthis Abline,7,15,46.7,129,30,2,1,1,0,2
Abner,252,351,71.8,3886,1578,2,18,3,1,16
Zakaria Aboukhlal,576,777,74.1,7539,1994,22,30,22,4,72
Tammy Abraham,342,513,66.7,4964,1248,33,18,17,2,54
Christian Acella,9,9,100.0,129,4,0,0,0,0,0
Francesco Acerbi,1455,1644,88.5,27034,8090,16,86,14,3,100
Álvaro Aceves,7,8,87.5,151,113,0,0,0,0,0
Mohamed Achi,18,21,85.7,274,76,1,1,0,0,3
Marcos Acuña,970,1307,74.2,18018,6997,38,71,38,19,102
Che Adams,330,498,66.3,4651,1042,24,21,11,2,34
Tyler Adams,1108,1343,82.5,16592,5061,24,110,13,0,136
Sargis Adamyan,123,179,68.7,2000,527,8,7,11,2,24
Tosin Adarabioyo,1066,1300,82.0,22623,8478,6,96,7,0,95
Martin Adeline,29,41,70.7,390,93,0,2,0,0,3
Karim Adeyemi,335,457,73.3,4409,1278,28,17,25,0,47
Amine Adli,427,565,75.6,5845,1373,20,26,10,0,49
Yacine Adli,49,76,64.5,931,308,2,6,2,0,10
Michel Aebischer,557,674,82.6,8050,2143,15,37,7,1,46
Felix Afena-Gyan,146,193,75.6,1855,194,3,3,0,0,8
Emmanuel Agbadou,1281,1493,85.8,27077,9413,13,112,15,1,131
Julen Agirrezabala,171,241,71.0,4890,3600,0,2,0,0,0
Lucien Agoume,619,744,83.2,10977,3466,12,62,15,2,93
Felix Agu,16,25,64.0,299,144,1,1,1,0,2
Álvaro Aguado,930,1142,81.4,18906,5096,35,111,11,2,139
Kevin Agudelo,531,735,72.2,7885,2631,28,58,31,2,110
Nayef Aguerd,599,763,78.5,12203,5332,6,37,4,0,25
Ruben Aguilar,696,847,82.2,10933,4515,3,72,11,5,102
Naouirou Ahamada,37,46,80.4,550,179,1,3,0,0,2
Naouirou Ahamada,449,529,84.9,6965,1651,15,38,7,2,56
Amar Ahmed,6,10,60.0,79,18,0,0,0,0,1
Jean-Eudes Aholou,447,592,75.5,7451,2109,9,53,11,1,50
Joseph Aidoo,1525,1766,86.4,31337,9650,2,83,4,0,95
Ola Aina,402,544,73.9,6725,2554,12,35,14,9,43
Rayan Aït-Nouri,470,578,81.3,7079,2353,7,29,14,5,43
Emanuel Aiwum,646,817,79.1,10819,3713,4,48,7,1,46
Kristoffer Ajer,259,345,75.1,4480,1887,1,20,3,1,31
Ludovic Ajorque,178,255,69.8,2614,397,10,10,6,0,13
Ludovic Ajorque,243,415,58.6,3550,613,13,17,8,0,31
Manuel Akanji,1912,2056,93.0,32634,10258,7,140,3,1,116
Nathan Aké,1639,1813,90.4,26199,8953,9,165,9,1,140
Sergio Akieme,821,1061,77.4,13314,5012,21,43,22,17,58
Babatunde Akinsola,2,2,100.0,41,0,0,0,0,0,0
Maghnes Akliouche,130,168,77.4,1613,498,6,12,5,0,16
Paul Akouokou,160,174,92.0,2670,645,0,13,1,0,10
Jean-Daniel Akpa-Akpro,302,406,74.4,4399,1671,6,24,9,2,39
Kevin Akpoguma,814,1024,79.5,15380,5931,5,83,10,3,85
David Alaba,1042,1189,87.6,15258,5475,16,68,9,4,67
Ángel Alarcón,,,,,,,,,,
Tomás Alarcón,78,95,82.1,1688,582,2,11,1,0,9
Lucas Alario,56,85,65.9,792,190,1,4,0,0,8
Jordi Alba,1217,1460,83.4,19141,5490,38,120,43,15,141
Luis Alberto,1640,1988,82.5,25338,8690,66,210,56,1,248
Raúl Albiol,1303,1472,88.5,28074,10667,2,98,5,0,100
Marc Albrighton,89,148,60.1,1440,551,6,6,5,2,7
Thiago Alcántara,946,1097,86.2,17219,4988,17,110,20,1,120
Carlos Alcaraz,222,290,76.6,3147,669,5,20,6,0,28
Rubén Alcaraz,827,1046,79.1,16517,4831,20,93,16,8,105
Omar Alderete,509,877,58.0,11252,5744,5,69,12,0,96
Iván Alejo,219,392,55.9,3409,1108,21,10,24,20,16
Doğan Alemdar,95,145,65.5,2786,2199,1,2,0,0,0
Carles Aleñá,607,809,75.0,10256,2596,15,71,20,6,87
Trent Alexander-Arnold,2188,2912,75.1,41590,16323,71,239,82,28,235
Alejandro Alfaro,1,1,100.0,3,0,0,0,0,0,0
Ángel Algobia,420,521,80.6,7479,1575,5,35,4,4,42
Mohamed Ali Cho,108,165,65.5,1506,407,7,6,10,7,8
Faride Alidou,74,101,73.3,1164,410,3,8,7,3,16
Alisson,1241,1453,85.4,29043,18696,1,16,0,0,3
Jim Allevinah,658,848,77.6,9331,2378,18,37,14,9,59
Dele Alli,12,15,80.0,123,10,0,2,0,0,1
Domingos André Ribeiro Almeida,1110,1402,79.2,18396,6030,43,143,43,13,197
Miguel Almirón,811,982,82.6,10752,2657,26,45,36,4,124
Marcos Alonso,896,1005,89.2,16393,5539,6,70,9,4,71
Mickaël Alphonse,448,686,65.3,7834,3413,11,43,10,5,51
Éder Álvarez Balanta,64,91,70.3,1237,408,4,11,0,0,12
Carlos Álvarez,4,4,100.0,47,0,0,0,0,0,0
Gastón Álvarez,350,579,60.4,5840,3078,4,27,4,3,38
Julián Álvarez,395,503,78.5,5472,885,18,22,13,2,37
Agustín Álvarez Martínez,68,84,81.0,942,179,2,4,2,0,6
Yeray Álvarez,1123,1392,80.7,23716,9040,14,137,11,4,152
Ibrahim Amadou,161,190,84.7,3021,1234,1,4,0,0,5
Selim Amallah,63,83,75.9,1030,268,3,7,2,0,10
Daniel Amartey,1015,1114,91.1,17506,6591,5,58,1,0,66
Amath,215,299,71.9,2692,708,2,13,5,3,16
Jordan Amavi,51,96,53.1,779,372,0,2,0,0,5
Lukáš Ambros,3,3,100.0,43,4,0,0,0,0,0
Kelvin Amian,830,1110,74.8,13341,5833,18,80,19,10,102
Bruno Amione,11,16,68.8,167,40,0,0,0,0,0
Bruno Amione,821,1032,79.6,14337,5874,3,38,3,1,54
Nadiem Amiri,423,507,83.4,6968,1759,15,38,9,1,55
Samuel Amo-Ameyaw,5,6,83.3,74,11,1,2,0,0,1
Ethan Ampadu,1254,1548,81.0,23855,9527,13,106,14,4,125
Sofyan Amrabat,1323,1490,88.8,26717,7147,12,158,23,10,176
Ayoub Amraoui,155,185,83.8,2237,638,2,10,2,2,13
Joachim Andersen,1561,1972,79.2,36474,13911,12,153,8,1,105
Elliot Anderson,150,198,75.8,2043,599,9,15,4,0,24
Felipe Anderson,1093,1410,77.5,15203,3384,47,61,47,6,114
Benjamin André,1942,2324,83.6,35130,11527,21,297,24,0,309
Marcos André,43,64,67.2,631,160,4,4,1,0,7
Komnen Andrić,320,428,74.8,4806,688,15,22,6,0,27
Robert Andrich,1218,1455,83.7,19896,5759,18,77,11,2,99
Angeliño,1012,1544,65.5,19297,7991,50,82,52,29,108
Fabrizio Angileri,153,260,58.8,2800,936,0,13,1,0,16
Jaidon Anthony,387,526,73.6,5818,1610,12,24,19,7,49
Janis Antiste,13,18,72.2,159,43,0,0,0,0,1
Waldemar Anton,1629,2059,79.1,32013,12155,10,112,16,4,135
Josep Antoni Gayá,6,7,85.7,96,34,0,0,0,0,0
José Antonio,8,10,80.0,98,50,1,2,1,0,3
Marcos Antônio,380,420,90.5,5541,1381,3,40,2,0,25
Michail Antonio,186,348,53.4,2663,501,15,12,8,2,27
Antony,651,819,79.5,8497,1915,28,29,33,2,74
Valentin Antov,201,229,87.8,3529,1518,1,12,2,0,14
Christopher Antwi-Adjei,432,712,60.7,6857,2576,33,17,30,15,36
Anuar,30,40,75.0,363,114,4,3,0,0,3
Houssem Aouar,299,370,80.8,4682,1089,6,37,4,0,37
Adil Aouchiche,115,154,74.7,1969,665,1,15,3,0,23
Dennis Appiah,339,468,72.4,5590,2196,4,30,7,4,39
Stredair Appuah,19,27,70.4,262,52,3,0,1,0,3
Mauro Arambarri,326,421,77.4,6549,2050,15,32,4,2,33
Charles Aránguiz,248,311,79.7,3706,1211,3,21,3,0,32
Ronald Araújo,1139,1287,88.5,21762,7324,6,95,3,1,79
Cameron Archer,8,12,66.7,108,44,0,2,0,0,0
Taïryk Arconte,10,17,58.8,129,32,2,0,0,0,1
Alphonse Areola,67,92,72.8,1737,1323,0,0,0,0,0
Adu Ares,42,51,82.4,744,137,3,4,3,3,4
Joe Aribo,280,385,72.7,3591,907,9,20,9,0,39
Adam Armstrong,220,302,72.8,3235,585,11,13,10,2,16
Stuart Armstrong,531,676,78.6,8041,2224,18,47,32,7,75
Marko Arnautović,328,467,70.2,4736,799,22,17,14,1,36
Maximilian Arnold,1269,1642,77.3,28055,8726,43,115,19,2,150
Mohamed El Arouch,1,2,50.0,17,9,0,1,0,0,1
Sergio Arribas,9,11,81.8,131,35,1,1,1,0,2
Kepa Arrizabalaga,871,1046,83.3,19299,11448,0,6,0,0,0
Roberto Arroyo,0,5,0.0,0,0,0,0,0,0,0
Tolgay Arslan,485,605,80.2,8750,2629,15,51,19,4,77
Ricard Artero,37,47,78.7,431,85,0,2,0,0,3
Santiago Arzamendia,150,226,66.4,2442,1025,6,14,3,0,17
Takuma Asano,237,342,69.3,3302,967,22,18,18,7,34
Santiago Ascacíbar,358,435,82.3,6100,2189,8,50,7,2,41
Sergio Asenjo,233,353,66.0,7218,5138,0,4,0,0,0
Marco Asensio,650,802,81.0,9900,2248,41,60,26,6,70
Kristoffer Askildsen,165,269,61.3,2965,1017,7,20,2,0,24
Fisnik Asllani,37,63,58.7,384,62,3,1,0,0,1
Kristjan Asllani,402,457,88.0,7554,2029,11,27,6,1,29
Iago Aspas,936,1227,76.3,14650,3382,83,90,47,2,162
Lorenz Assignon,127,155,81.9,2129,587,1,8,0,0,11
Youcef Atal,408,509,80.2,6228,1790,11,28,16,7,39
Valentin Atangana Edoa,41,48,85.4,650,180,3,4,1,1,5
Pierre-Emerick Aubameyang,82,111,73.9,1053,203,4,2,2,1,3
Pierre-Emerick Aubameyang,3,3,100.0,59,26,0,0,0,0,0
Emil Audero,617,919,67.1,19319,14234,0,16,0,0,0
Tommaso Augello,1283,1774,72.3,21887,9530,43,84,45,28,119
Ludwig Augustinsson,26,43,60.5,421,176,0,0,0,0,0
Ludwig Augustinsson,49,70,70.0,727,274,1,1,2,2,5
Carlos Augusto,1430,1719,83.2,22788,6775,26,75,27,7,101
Serge Aurier,667,943,70.7,10182,4393,10,44,13,6,71
Mathias Autret,451,597,75.5,9287,2835,27,61,16,4,77
Ezequiel Ávila,287,526,54.6,5983,1501,18,24,25,14,39
Cédric Avinel,607,714,85.0,12003,4107,0,13,0,0,31
Taiwo Awoniyi,143,223,64.1,1675,300,10,6,2,0,12
Yasin Ayari,20,23,87.0,386,133,2,4,1,0,2
Mehmet Aydin,178,280,63.6,3104,1260,4,13,5,3,15
André Ayew,53,73,72.6,686,146,1,3,1,0,11
Jordan Ayew,676,875,77.3,8710,1706,31,34,19,6,63
Kaan Ayhan,288,332,86.7,6000,1702,0,20,0,0,15
Luke Ayling,786,1132,69.4,12523,6236,12,61,18,10,77
Ayman Azhil,0,0,,0,0,0,0,0,0,0
Sardar Azmoun,162,247,65.6,2373,844,14,23,9,0,32
César Azpilicueta,872,1065,81.9,12891,4354,12,40,19,5,71
Sanoussy Ba,0,0,,0,0,0,0,0,0,0
Iddrisu Baba,476,584,81.5,8907,2460,5,42,2,0,47
Srđan Babić,1172,1373,85.4,23290,8365,7,55,3,1,63
Loïc Bade,735,847,86.8,13873,4762,2,40,0,0,42
Loïc Bade,52,59,88.1,1163,396,1,2,0,0,3
Édgar Badía,791,1072,73.8,24081,17998,0,10,0,0,0
Benoît Badiashile,769,860,89.4,14061,5150,3,47,5,0,56
Benoît Badiashile,403,468,86.1,8296,3424,1,46,3,0,39
Alex Baena,681,859,79.3,11154,3034,31,75,43,3,124
Jaime Báez,32,48,66.7,640,379,2,7,2,2,4
Leon Bailey,337,547,61.6,5379,1285,30,19,21,15,28
Eric Bailly,231,274,84.3,4679,1676,0,17,0,0,12
Dénys Bain,52,56,92.9,909,276,0,1,0,0,3
Brandon Baiye,27,32,84.4,416,120,1,1,0,0,2
Stefan Bajcetic,200,258,77.5,3227,694,4,17,7,1,24
Nedim Bajrami,260,348,74.7,3968,1323,15,19,6,0,29
Nedim Bajrami,245,355,69.0,3599,922,14,13,11,0,44
Cédric Bakambu,19,23,82.6,263,56,2,1,0,0,0
Tiemoué Bakayoko,17,20,85.0,305,99,0,3,0,0,2
Mitchel Bakker,764,968,78.9,11670,3583,17,36,14,2,57
Ridle Baku,1216,1551,78.4,22159,7294,28,116,37,14,126
Tommaso Baldanzi,534,647,82.5,7465,1747,23,38,17,1,69
Alejandro Balde,1482,1670,88.7,21525,4340,22,74,22,16,79
Thierno Balde,763,931,82.0,11688,3640,19,34,19,4,60
Carlos Baleba,249,300,83.0,4837,877,2,33,2,0,33
Mikel Balenziaga,49,69,71.0,819,242,0,4,2,1,7
Leonardo Balerdi,1389,1656,83.9,27891,8035,5,105,3,1,97
Dominic Ballard,5,7,71.4,55,5,0,0,0,0,0
Iván Balliu,1422,1850,76.9,23328,9525,32,95,34,18,131
Fodé Ballo-Touré,234,281,83.3,3827,1223,4,13,8,5,25
Folarin Balogun,408,582,70.1,5755,1189,36,28,19,1,55
Abdoulaye Bamba,619,721,85.9,10973,3954,4,46,6,3,36
Jonathan Bamba,1125,1405,80.1,15835,4358,46,93,59,9,146
Patrick Bamford,229,333,68.8,2421,537,12,18,9,0,23
Lameck Banda,278,428,65.0,3757,907,14,17,7,1,28
Filippo Bandinelli,773,1049,73.7,12752,3934,31,62,36,21,101
Léo Baptistão,359,540,66.5,5742,1514,18,30,13,3,51
Shandon Baptiste,247,295,83.7,4143,1121,10,22,8,2,39
Antonín Barák,11,14,78.6,140,24,0,2,0,0,2
Antonín Barák,590,719,82.1,8980,1995,22,59,14,2,82
Andrea Barberis,140,166,84.3,2307,639,4,16,1,1,14
Tommaso Barbieri,43,64,67.2,725,151,0,1,0,0,0
Bradley Barcola,324,466,69.5,4152,1140,25,21,20,4,39
Melvin Bard,1201,1505,79.8,18633,6326,10,70,21,7,96
Francesco Bardi,18,23,78.3,548,399,0,1,0,0,0
Keidi Bare,221,267,82.8,3777,1040,3,25,1,0,28
Nicolò Barella,1306,1601,81.6,21320,6648,55,150,50,15,214
Kike Barja,316,487,64.9,5033,1204,28,13,25,18,35
Ross Barkley,391,497,78.7,6687,1994,31,36,8,0,48
Aymen Barkok,181,264,68.6,2801,919,8,18,7,1,40
Harvey Barnes,549,786,69.8,7152,2004,19,39,31,5,79
Leandro Barreiro Martins,379,557,68.0,5320,1806,16,48,5,1,54
Enzo Barrenechea,98,115,85.2,1544,361,1,6,0,0,5
Ander Barrenetxea,288,376,76.6,4302,1117,9,14,9,1,27
Mickaël Barreto,481,695,69.2,9089,3373,18,71,16,7,87
Pablo Barrios,368,450,81.8,5684,1671,4,46,3,0,51
Musa Barrow,583,806,72.3,9580,2327,43,43,29,12,58
Federico Baschirotto,1049,1432,73.3,22612,8666,8,86,7,3,107
Toma Bašić,214,293,73.0,3132,612,8,14,5,2,22
Alberto Basso,2,2,100.0,41,5,0,0,0,0,1
Gil Bastião Dias,120,174,69.0,1874,372,8,7,7,1,14
Alessandro Bastoni,1384,1671,82.8,27841,9878,15,130,29,11,141
Simone Bastoni,367,596,61.6,6147,2336,18,35,11,8,32
Rodrigo Battaglia,185,232,79.7,2885,894,1,24,1,0,19
Maximilian Bauer,551,758,72.7,11267,4449,4,30,2,0,40
Oliver Baumann,1068,1417,75.4,29033,20956,1,28,1,0,1
Timo Baumgartl,257,316,81.3,4858,1773,3,20,4,2,28
Julian Baumgartlinger,189,228,82.9,3450,906,2,15,8,1,25
Christoph Baumgartner,610,915,66.7,9280,2767,24,70,35,4,100
Cyrille Bayala,399,654,61.0,6041,2291,19,45,14,7,66
Brian Bayeye,30,50,60.0,509,284,1,2,1,1,3
Noah Joel Sarenren Bazee,1,2,50.0,10,5,1,0,0,0,0
Gavin Bazunu,718,1178,61.0,21528,16289,1,42,1,0,1
Bebé,21,38,55.3,411,101,2,2,1,1,1
Ihlas Bebou,246,369,66.7,3282,756,15,11,5,0,23
Rodrigo Becão,1089,1400,77.8,20616,8692,10,77,5,2,98
Mads Bech Sørensen,7,11,63.6,142,49,0,2,0,0,1
Julius Beck,5,5,100.0,116,29,0,0,0,0,2
Sheraldo Becker,387,652,59.4,6499,1541,44,20,44,30,44
Jan Bednarek,753,902,83.5,13941,5608,3,33,1,0,45
Jan Bednarek,60,66,90.9,1249,418,0,4,0,0,5
Donny van de Beek,46,61,75.4,502,115,3,0,4,0,6
Asmir Begović,21,30,70.0,584,423,0,0,0,0,0
Yanis Begraoui,14,19,73.7,207,68,2,1,1,0,3
Kevin Behrens,283,483,58.6,4058,1156,21,31,26,1,71
Alexis Beka Beka,236,303,77.9,3971,967,3,19,2,1,25
Jérémie Bela,174,260,66.9,2397,917,3,20,7,3,24
Reda Belahyane,103,114,90.4,1771,445,1,6,0,0,10
Youcef Belaïli,328,458,71.6,5637,2159,21,35,22,6,55
Youcef Belaïli,114,158,72.2,2224,569,8,4,8,1,14
Haris Belkebla,1033,1222,84.5,18238,4759,10,107,9,1,129
Stefan Bell,945,1248,75.7,18036,8543,8,67,9,1,92
Armel Bella Kotchap,749,937,79.9,13980,4521,6,32,4,0,39
Raoul Bellanova,238,306,77.8,3914,953,3,9,6,5,12
Karim Bellarabi,37,57,64.9,493,171,0,4,0,0,4
Jean-Ricner Bellegarde,952,1242,76.7,16743,5003,57,93,49,18,153
Héctor Bellerín,77,96,80.2,1146,419,1,10,4,0,13
Jude Bellingham,1342,1643,81.7,23692,7381,34,194,45,3,252
Jeanuël Belocian,274,308,89.0,4796,1397,1,13,1,0,21
Andrea Belotti,171,258,66.3,2169,381,14,6,5,0,13
Fran Beltrán,1604,1816,88.3,28935,6589,24,136,12,4,138
Eliesse Ben Seghir,342,436,78.4,4983,1280,14,30,21,0,55
Salim Ben Seghir,2,2,100.0,18,1,0,0,0,0,0
Wissam Ben Yedder,449,605,74.2,6103,1335,25,32,30,0,75
Marco Benassi,91,105,86.7,2107,426,1,11,1,0,9
Marco Benassi,248,344,72.1,4318,1060,7,17,4,2,27
Iker Benito,31,42,73.8,501,92,3,0,1,1,3
Ismaël Bennacer,1219,1423,85.7,21142,5792,43,123,28,4,132
Saïd Benrahma,597,796,75.0,8154,2088,48,32,23,12,82
Ramy Bensebaini,1192,1525,78.2,20015,7769,15,81,30,3,101
Nabil Bentaleb,1512,1853,81.6,29115,9442,33,172,15,0,176
Rodrigo Bentancur,738,880,83.9,11482,3178,11,54,9,4,76
Daniel Bentley,61,80,76.3,1540,927,0,0,0,0,0
Karim Benzema,924,1070,86.4,10990,2417,48,71,51,0,138
Domenico Berardi,614,909,67.5,12161,3346,45,38,56,10,114
Yuri Berchiche,1304,1580,82.5,22195,8668,21,146,31,14,179
Álex Berenguer,630,955,66.0,9379,2766,52,25,41,16,77
Bartosz Bereszyński,471,644,73.1,6989,3219,3,32,10,3,44
Bartosz Bereszyński,87,105,82.9,1252,420,2,5,3,0,7
Patrick Berg,17,20,85.0,319,133,1,3,1,0,3
Mitchell van Bergen,205,303,67.7,3177,1016,19,11,18,10,21
Mergim Berisha,161,342,47.1,2735,1043,20,20,10,3,28
Quentin Bernard,324,417,77.7,5848,2976,7,31,6,4,27
Paul Bernardoni,438,667,65.7,12371,9125,0,12,0,0,0
Juan Bernat,969,1049,92.4,13422,3011,21,36,11,3,38
Victor Bernth Kristiansen,327,496,65.9,5252,2353,7,29,4,3,31
Jason Berthomier,19,19,100.0,248,34,0,1,0,0,1
Marco Bertini,0,0,,0,0,0,0,0,0,0
Beto,190,299,63.5,2421,295,23,9,4,0,13
Owen Bevan,2,3,66.7,38,7,0,0,0,0,0
Matteo Bianchetti,729,935,78.0,14388,6137,5,49,8,2,47
Alessandro Bianco,67,78,85.9,1237,231,1,11,1,0,9
Giulian Biancone,15,21,71.4,253,126,0,0,0,0,0
Ermin Bičakčić,68,96,70.8,1373,653,0,6,1,0,7
Pedro Bigas,843,1053,80.1,16786,7505,0,63,1,1,83
Jaka Bijol,1170,1381,84.7,24657,10028,9,54,5,1,66
El Bilal Touré,183,258,70.9,2226,311,14,7,3,1,14
El Bilal Touré,16,20,80.0,234,46,2,1,1,0,1
Philip Billing,813,1055,77.1,11823,3165,26,49,9,3,80
Jean-Claude Billong,33,34,97.1,619,231,0,0,0,0,4
Cristiano Biraghi,1433,1994,71.9,27338,10270,82,114,35,23,161
Samuele Birindelli,572,777,73.6,9832,2913,18,27,19,13,43
Veljko Birmančević,107,161,66.5,1391,503,2,9,4,0,16
Tom Bischof,84,121,69.4,1266,420,5,9,4,1,16
Yves Bissouma,666,733,90.9,10412,2333,8,55,5,1,62
Kristijan Bistrović,101,140,72.1,1867,682,6,10,2,1,16
Leonardo Bittencourt,579,792,73.1,8839,2535,15,44,26,5,74
Marco Bizot,799,1096,72.9,24651,17824,0,14,1,0,0
Lautaro Blanco,235,416,56.5,4363,2284,12,19,17,10,28
Rubén Blanco,166,206,80.6,3744,2408,0,0,0,0,0
Ludovic Blas,933,1186,78.7,17210,3890,47,87,27,8,147
Janis Blaswich,988,1142,86.5,21548,10888,0,11,0,0,1
Miha Blažič,1034,1182,87.5,21289,7678,1,42,2,0,64
Joaquín Blázquez,21,29,72.4,728,535,0,1,0,0,0
Alexis Blin,766,963,79.5,12309,3766,15,88,13,3,101
Daley Blind,87,100,87.0,1659,659,2,8,1,0,10
Myron Boadu,39,57,68.4,455,114,4,3,3,1,3
Jérôme Boateng,179,223,80.3,3852,1320,1,7,2,0,6
Kevin-Prince Boateng,185,252,73.4,3113,971,3,19,2,0,24
Antonin Bobichon,12,20,60.0,201,71,1,5,1,0,4
Jean-Paul Boëtius,303,421,72.0,5386,2162,13,38,10,1,61
Jeremie Boga,381,475,80.2,5908,1552,34,23,24,8,53
Emil Bohinen,404,479,84.3,5591,1452,12,25,5,1,31
Quentin Boisgard,79,98,80.6,1013,236,4,9,4,0,11
Willy Boly,194,258,75.2,3706,1660,1,8,0,0,12
Giacomo Bonaventura,754,916,82.3,11960,2716,34,57,30,4,102
Federico Bonazzoli,264,354,74.6,4654,966,8,30,6,0,43
Warren Bondo,45,51,88.2,720,106,0,2,0,0,5
Theo Bongonda,329,489,67.3,4564,1295,20,20,11,4,39
Kevin Bonifazi,643,722,89.1,12821,4841,2,36,0,0,33
Leonardo Bonucci,508,580,87.6,10749,4060,4,35,4,0,28
Neto Borges,1163,1496,77.7,18327,6651,28,59,43,15,100
Yvandro Borges Sanches,8,9,88.9,113,17,0,0,1,1,0
Sebastiaan Bornauw,1062,1234,86.1,20707,7058,1,67,0,0,85
Rafael Borré,294,422,69.7,4153,887,15,16,8,2,34
Erik Botheim,165,231,71.4,2038,460,9,10,4,0,21
Sven Botman,1527,1765,86.5,30660,11233,9,59,4,1,87
Kenji-Van Boto,48,69,69.6,770,376,0,2,0,0,2
Kouamé Botué,33,47,70.2,386,141,3,6,1,0,4
Badredine Bouanani,288,378,76.2,4811,1017,22,18,18,8,31
Hicham Boudaoui,1081,1226,88.2,17025,4134,23,99,16,3,110
Franci Bouebari,13,23,56.5,195,77,1,0,0,0,0
Sofiane Boufal,370,487,76.0,5643,1574,27,30,10,1,56
Yassine Bounou,717,949,75.6,18725,13212,0,7,0,0,1
Ismaëlben Boura,47,64,73.4,670,236,1,2,2,0,6
Mehdi Bourabia,981,1282,76.5,15009,4832,37,94,32,10,113
Benjamin Bourigeaud,1505,2007,75.0,28664,9729,98,183,96,19,264
Edoardo Bove,309,406,76.1,4427,1026,7,20,6,0,33
Jarrod Bowen,552,881,62.7,8725,2552,48,39,24,9,72
Lucas Boyé,510,650,78.5,7080,1364,29,35,22,5,63
Jayden Braaf,60,78,76.9,849,192,2,5,0,0,5
Domagoj Bradarić,857,1155,74.2,13414,4480,17,40,17,9,52
Bilal Brahimi,280,389,72.0,4139,916,17,11,15,12,16
Martin Braithwaite,294,446,65.9,4173,986,12,26,13,2,54
Juan Brandáriz,664,806,82.4,11229,4521,2,35,3,2,32
Julian Brandt,1053,1368,77.0,16552,4185,73,60,40,9,119
Darko Brašanac,306,376,81.4,4620,1215,7,40,7,2,49
Lilian Brassier,1257,1634,76.9,26597,11728,7,98,15,7,111
Claudio Bravo,232,392,59.2,7419,5674,0,5,1,0,1
Fabian Bredlow,510,595,85.7,12242,7412,0,6,0,0,0
James Bree,133,178,74.7,1971,741,4,5,5,4,5
Josip Brekalo,76,100,76.0,1424,365,8,7,11,3,18
Josip Brekalo,103,148,69.6,1684,475,5,10,4,0,13
Gleison Bremer,1503,1668,90.1,29183,9314,9,38,1,0,54
Armando Broja,33,53,62.3,466,54,1,1,1,0,4
Dylan Bronn,855,1007,84.9,15486,6081,5,62,4,1,70
David Brooks,46,63,73.0,640,140,2,4,1,0,11
John Brooks,624,773,80.7,12417,4919,0,25,1,0,40
Moritz Broschinski,29,50,58.0,423,74,1,2,0,0,3
Marcelo Brozović,1318,1502,87.7,23163,6319,23,102,18,5,114
Cédric Brunner,779,1158,67.3,14299,6288,20,46,26,18,77
Lewis Brunt,17,21,81.0,283,57,0,0,0,0,0
Jacob Bruun Larsen,62,88,70.5,807,152,7,5,2,0,4
Andreas Bruus,445,637,69.9,7410,2626,21,24,18,10,41
Joe Bryan,80,101,79.2,1121,455,1,2,3,0,8
Lee Buchanan,179,267,67.0,3373,1351,5,16,5,2,21
Ante Budimir,194,315,61.6,2324,372,10,13,3,0,23
Emi Buendía,787,1020,77.2,12082,3091,41,84,41,0,138
Hugo Bueno,547,679,80.6,7697,2227,16,24,10,6,39
Santiago Bueno,1576,1823,86.5,31141,10648,9,148,5,1,148
Adam Buksa,15,24,62.5,245,53,1,3,0,0,3
Marius Bülter,439,762,57.6,6844,2502,39,42,44,23,86
Cristian Buonaiuto,304,465,65.4,4751,1632,17,31,15,4,39
Facundo Buonanotte,157,194,80.9,2407,525,6,9,10,2,13
Alessandro Buongiorno,1332,1573,84.7,22243,6857,8,70,5,3,81
Delano Burgzorg,40,55,72.7,473,76,1,1,2,0,4
Jonathan Burkardt,71,109,65.1,1119,317,7,3,9,2,14
Oliver Burke,53,81,65.4,655,185,4,4,3,0,7
Dan Burn,1361,1715,79.4,22235,8853,16,102,11,2,118
Maxime Busi,464,614,75.6,8573,2893,7,39,13,7,57
Sergio Busquets,1722,1949,88.4,30610,9017,25,230,33,3,254
Aurélio Buta,576,764,75.4,8658,2874,18,35,20,12,47
Leonardo Buta,10,13,76.9,166,54,0,0,0,0,1
Marcin Bułka,54,67,80.6,1465,1156,0,0,0,0,0
Jamie Bynoe-Gittens,104,142,73.2,1235,328,2,9,5,0,9
Rémy Cabella,1397,1764,79.2,20670,6850,100,153,76,12,230
Jimmy Cabot,261,346,75.4,4629,1527,17,19,13,4,29
Arthur Cabral,183,271,67.5,2376,416,14,3,7,0,21
Leandro Cabrera,959,1343,71.4,19673,9222,14,87,12,4,95
Liberato Cacace,338,424,79.7,5441,1880,8,24,1,1,41
Anthony Caci,815,1140,71.5,16732,7645,21,85,29,15,90
