Player,Cmp,Att,Cmp%,TotDist,PrgDist,KP,pass1/3,PPA,CrsPA,PrgP
Birama Touré,1236,1538,80.4,23867,7341,5,121,11,0,138
Mohamed Toure,3,6,50.0,46,15,1,0,0,0,1
Souleymane Touré,32,38,84.2,583,158,0,3,0,0,2
Souleymane Touré,681,782,87.1,12785,4114,8,41,4,0,45
Lucas Tousart,530,885,59.9,8426,3235,18,72,9,3,93
Yoann Touzghar,80,112,71.4,968,196,1,5,0,0,7
Adama Traoré,325,494,65.8,4826,1228,24,17,22,14,36
Bertrand Traoré,59,75,78.7,868,258,1,1,5,3,9
Boubacar Traoré,118,149,79.2,1952,617,1,16,1,0,8
Charles Traore,181,239,75.7,3371,1427,2,18,4,2,11
Hamari Traoré,1541,1826,84.4,27185,8228,22,132,34,13,159
Kevin Trapp,616,888,69.4,15447,10068,0,9,0,0,0
Mark Travers,281,368,76.4,7963,5655,0,5,0,0,0
Óscar Trejo,811,1005,80.7,11119,3045,43,107,23,2,123
Manu Trigueros,475,534,89.0,6910,1993,10,69,12,1,76
Christopher Trimmel,649,1040,62.4,11591,5038,35,53,26,18,65
Théo Trinker,0,0,,0,0,0,0,0,0,0
Kieran Trippier,1995,2788,71.6,38118,16809,110,182,97,26,260
William Troost-Ekong,148,179,82.7,3117,1047,0,1,1,1,6
Leandro Trossard,347,452,76.8,5770,1501,22,20,30,5,57
Leandro Trossard,379,529,71.6,6222,1920,23,42,25,7,67
Adrien Truffert,1106,1395,79.3,17515,5252,22,71,17,10,89
Frank Tsadjout,184,271,67.9,2340,400,10,14,5,0,18
Kostas Tsimikas,474,618,76.7,8379,2366,18,20,7,4,26
Theocharis Tsingaras,4,5,80.0,74,25,1,0,0,0,1
Viktor Tsyhankov,433,622,69.6,6648,1872,36,21,16,2,46
Alessandro Tuia,142,204,69.6,3226,1193,1,15,1,1,20
Martin Turk,89,142,62.7,3103,2663,0,1,0,0,0
Beñat Turrientes,40,47,85.1,707,113,2,3,0,0,2
Tuta,1486,1855,80.1,28536,10513,6,94,6,1,107
Destiny Udogie,931,1127,82.6,13917,4753,34,67,30,4,106
Ike Ugbo,96,137,70.1,1188,156,3,6,0,0,8
Lesley Ugochukwu,566,648,87.3,10531,2415,3,43,3,0,50
Samir Ujkani,3,3,100.0,64,45,0,0,0,0,0
Sven Ulreich,110,131,84.0,2282,1531,0,0,0,0,0
Lauren Ulrich,4,5,80.0,52,7,0,1,0,0,1
Samuel Umtiti,724,868,83.4,14243,4927,3,47,5,1,56
Enes Ünal,446,750,59.5,5529,1253,27,40,16,3,55
Deniz Undav,122,164,74.4,1504,325,8,8,3,0,10
Cengiz Ünder,778,1114,69.8,13245,4270,55,71,50,18,115
Dayot Upamecano,2101,2318,90.6,42619,15514,6,205,6,0,169
Filip Uremović,514,658,78.1,9661,2828,4,16,2,1,17
Oscar Ureña,15,22,68.2,192,19,0,1,0,0,1
Jere Uronen,125,157,79.6,2127,799,1,12,6,5,15
Jere Uronen,275,373,73.7,4885,2048,9,19,7,7,30
Mark Uth,11,15,73.3,181,42,0,2,0,0,1
Josha Vagnoman,453,584,77.6,6868,2125,11,28,14,3,43
Diego Valencia,52,75,69.3,753,195,2,1,2,1,4
Óscar Valentín,957,1173,81.6,16532,5381,19,138,5,1,133
Emanuele Valeri,753,1258,59.9,13771,6184,53,66,52,32,90
Yan Valery,15,23,65.2,213,39,0,1,0,0,0
Yan Valery,950,1292,73.5,16786,6797,12,69,17,14,84
Martin Valjent,885,1123,78.8,16962,7350,3,59,5,2,57
Jesús Vallejo,12,12,100.0,224,80,0,1,0,0,0
Manu Vallejo,68,89,76.4,1029,232,3,8,3,1,10
Mattia Valoti,122,166,73.5,2009,466,3,17,2,1,16
Federico Valverde,1427,1641,87.0,21092,4276,43,118,45,6,151
Virgil van Dijk,2345,2592,90.5,45523,16670,7,156,6,0,127
Vanderson,1039,1382,75.2,17816,6391,27,85,31,14,108
Raphaël Varane,954,1106,86.3,17988,5712,4,82,3,0,63
Jamie Vardy,137,263,52.1,1931,364,14,7,5,1,14
Ruben Vargas,215,372,57.8,3588,1087,16,26,16,6,42
Johan Vásquez,632,810,78.0,11163,4435,6,39,4,1,48
Jesus Vazquez,142,171,83.0,1882,677,3,12,3,3,13
Kevin Vázquez,173,234,73.9,2631,1149,2,16,4,2,13
Lucas Vázquez,808,936,86.3,12257,2640,21,28,30,6,50
Matías Vecino,830,968,85.7,12291,3427,9,86,8,0,88
Gabriel Veiga,552,742,74.4,8847,2937,28,79,22,2,109
Renato Veiga,210,318,66.0,4306,1261,2,7,4,1,14
Miloš Veljković,1145,1411,81.1,25411,10806,7,76,2,0,81
Miguel Veloso,429,599,71.6,8600,3315,20,49,13,5,84
Joël Veltman,1261,1512,83.4,21830,7101,10,157,13,4,153
Micky van de Ven,1541,1758,87.7,30569,9937,6,98,5,0,111
Unai Vencedor Paris,107,124,86.3,2021,592,2,13,2,0,16
Lorenzo Venuti,497,609,81.6,8930,2556,8,36,9,4,44
Daniele Verde,312,443,70.4,5403,1794,18,28,17,6,42
Simone Verdi,270,414,65.2,5101,1823,20,38,12,5,46
Gonzalo Verdú,269,338,79.6,5668,1965,0,8,0,0,13
Jordan Veretout,1834,2148,85.4,35304,9959,36,274,25,7,248
Marco Verratti,2383,2573,92.6,36470,12516,33,222,55,3,262
Valerio Verre,282,398,70.9,5116,1682,13,30,14,4,45
Mikel Vesga,1259,1510,83.4,22687,6824,20,193,21,4,199
Guglielmo Vicario,923,1277,72.3,24781,16933,0,19,0,0,0
João Victor,347,436,79.6,6390,1715,4,19,5,3,40
Aleix Vidal,279,384,72.7,4979,1379,15,19,10,4,23
Clément Vidal,604,785,76.9,12836,5788,1,52,2,1,61
Nacho Vidal,472,622,75.9,7829,3267,3,33,8,3,47
Gabriel Vidovic,10,13,76.9,102,23,2,0,1,0,1
Fabio Vieira,234,290,80.7,3557,834,12,26,7,2,35
Ronaldo Vieira,6,7,85.7,93,34,0,0,1,1,1
Ronaldo Vieira,384,440,87.3,7101,1804,0,39,2,0,39
Emanuel Vignato,79,99,79.8,1201,338,3,9,2,1,9
Emanuel Vignato,43,54,79.6,717,115,1,4,2,0,7
