Player,SCA,gcaPassLive,gcaTO,gcaSh,gcaFld,gcaDef
Santiago Ascacíbar,25,17,0,7,0,0
Sergio Asenjo,2,1,0,0,0,0
Marco Asensio,76,47,6,4,3,0
Kristoffer Askildsen,15,9,0,0,2,0
Fisnik Asllani,8,6,0,0,1,1
Kristjan Asllani,22,11,1,0,1,0
Iago Aspas,141,110,5,8,9,1
Lorenz Assignon,4,3,0,0,0,0
Youcef Atal,31,22,4,2,2,1
Valentin Atangana Edoa,5,4,0,1,0,0
Pierre-Emerick Aubameyang,8,6,0,2,0,0
Pierre-Emerick Aubameyang,1,0,0,1,0,0
Emil Audero,5,5,0,0,0,0
Tommaso Augello,77,54,2,1,3,1
Ludwig Augustinsson,0,0,0,0,0,0
Ludwig Augustinsson,2,2,0,0,0,0
Carlos Augusto,56,45,3,2,2,1
Serge Aurier,26,21,0,0,2,1
Mathias Autret,54,35,3,3,0,1
Ezequiel Ávila,41,28,4,4,2,1
Cédric Avinel,3,1,0,1,0,0
Taiwo Awoniyi,25,18,2,2,2,1
Yasin Ayari,4,3,0,0,1,0
Mehmet Aydin,13,10,0,2,0,0
André Ayew,3,2,0,0,0,0
Jordan Ayew,78,53,9,6,7,3
Kaan Ayhan,5,5,0,0,0,0
Luke Ayling,40,33,0,3,2,2
Ayman Azhil,0,0,0,0,0,0
Sardar Azmoun,33,27,1,2,1,2
César Azpilicueta,25,25,0,0,0,0
Sanoussy Ba,0,0,0,0,0,0
Iddrisu Baba,13,10,0,1,1,1
Srđan Babić,20,18,0,2,0,0
Loïc Bade,3,2,0,0,0,0
Loïc Bade,1,0,0,1,0,0
Édgar Badía,3,3,0,0,0,0
Benoît Badiashile,12,11,0,0,0,1
Benoît Badiashile,4,2,0,2,0,0
Alex Baena,79,58,8,8,5,0
Jaime Báez,5,2,0,0,0,0
Leon Bailey,62,40,10,7,3,0
Eric Bailly,2,2,0,0,0,0
Dénys Bain,0,0,0,0,0,0
Brandon Baiye,2,2,0,0,0,0
Stefan Bajcetic,13,8,2,0,2,0
Nedim Bajrami,39,27,2,1,1,0
Nedim Bajrami,34,21,4,2,0,1
Cédric Bakambu,2,2,0,0,0,0
Tiemoué Bakayoko,0,0,0,0,0,0
Mitchel Bakker,37,30,0,0,2,1
Ridle Baku,64,50,4,4,4,0
Tommaso Baldanzi,60,38,7,5,8,0
Alejandro Balde,66,50,8,2,5,1
Thierno Balde,45,35,3,1,4,0
Carlos Baleba,11,7,1,1,2,0
Mikel Balenziaga,1,1,0,0,0,0
Leonardo Balerdi,13,9,1,3,0,0
Dominic Ballard,0,0,0,0,0,0
Iván Balliu,66,51,0,1,3,0
Fodé Ballo-Touré,8,4,1,0,1,1
Folarin Balogun,80,50,11,11,6,1
Abdoulaye Bamba,8,7,0,0,0,1
Jonathan Bamba,106,89,5,8,2,0
Patrick Bamford,27,17,1,5,3,1
Lameck Banda,42,20,13,3,4,0
Filippo Bandinelli,61,51,0,2,3,3
Léo Baptistão,53,37,4,8,2,2
Shandon Baptiste,18,11,2,2,2,0
Antonín Barák,0,0,0,0,0,0
Antonín Barák,44,35,4,2,3,0
Andrea Barberis,10,9,0,0,0,0
Tommaso Barbieri,1,1,0,0,0,0
Bradley Barcola,39,32,4,2,0,1
Melvin Bard,30,27,1,0,0,0
Francesco Bardi,0,0,0,0,0,0
Keidi Bare,11,7,0,2,0,1
Nicolò Barella,121,103,5,2,6,1
Kike Barja,49,36,5,0,0,1
Ross Barkley,51,30,6,2,0,0
Aymen Barkok,18,13,1,2,1,0
Harvey Barnes,63,43,3,9,7,1
Leandro Barreiro Martins,47,32,3,4,4,4
Enzo Barrenechea,1,1,0,0,0,0
Ander Barrenetxea,28,22,2,2,2,0
Mickaël Barreto,30,22,0,0,0,1
Pablo Barrios,20,17,0,2,1,0
Musa Barrow,71,44,4,5,3,0
Federico Baschirotto,20,15,0,2,0,1
Toma Bašić,13,7,1,0,5,0
Alberto Basso,0,0,0,0,0,0
Gil Bastião Dias,12,9,1,0,1,1
Alessandro Bastoni,52,43,1,2,2,0
Simone Bastoni,30,19,0,2,0,1
Rodrigo Battaglia,4,3,0,0,1,0
Maximilian Bauer,15,5,0,4,3,1
Oliver Baumann,4,3,0,0,0,0
Timo Baumgartl,8,7,0,1,0,0
Julian Baumgartlinger,8,7,0,1,0,0
Christoph Baumgartner,89,60,11,5,12,1
Cyrille Bayala,43,29,4,1,4,4
Brian Bayeye,3,3,0,0,0,0
Noah Joel Sarenren Bazee,0,0,0,0,0,0
Gavin Bazunu,7,5,0,0,0,0
Bebé,4,0,0,1,1,0
Ihlas Bebou,45,30,9,1,5,0
Rodrigo Becão,29,20,0,1,2,2
Mads Bech Sørensen,1,1,0,0,0,0
