Player,Sh,SoT,SoT%,Dist,FK
Noni Madueke,12,6,50.0,15.6,0
Pablo Maffeo,21,4,19.0,17.4,0
Gabriel Magalhães,32,9,28.1,11.9,0
Lisandro Magallán,6,2,33.3,11.2,0
Soungoutou Magassa,0,0,,,0
Giulio Maggiore,6,0,0.0,16.7,0
Giangiacomo Magnani,7,1,14.3,19.1,0
Hugo Magnetti,17,6,35.3,24.7,0
Yohann Magnin,17,1,5.9,19.8,0
Harry Maguire,3,0,0.0,9.0,0
Jon Magunacelaya,1,1,100.0,10.8,0
Riyad Mahrez,42,12,28.6,17.2,7
Arne Maier,28,10,35.7,21.1,3
Mike Maignan,0,0,,,0
Linton Maina,35,13,37.1,15.3,0
Kobbie Mainoo,0,0,,,0
Ainsley Maitland-Niles,1,1,100.0,31.4,0
Jordan Majchrzak,0,0,,,0
Lovro Majer,33,11,33.3,20.4,5
Jean-Victor Makengo,7,0,0.0,21.4,0
Jean-Victor Makengo,5,2,40.0,26.9,0
Béni Makouana,6,1,16.7,13.9,0
Nemanja Maksimović,18,7,38.9,14.2,0
Tyrell Malacia,5,2,40.0,22.1,0
Lorenzo Malagrida,2,2,100.0,13.3,0
Daniel Maldini,15,6,40.0,19.0,1
Youssef Maleh,7,0,0.0,15.9,0
Youssef Maleh,6,1,16.7,21.0,0
Donyell Malen,64,30,46.9,15.9,3
Ruslan Malinovskyi,19,6,31.6,25.6,0
Ruslan Malinovskyi,35,7,20.0,24.3,6
Hugo Mallo,19,7,36.8,13.0,0
Mickael Malsa,0,0,,,0
Giorgi Mamardashvili,0,0,,,0
Hianga Mananga Mbock,0,0,,,0
Gianluca Mancini,22,5,22.7,13.1,0
Steve Mandanda,0,0,,,0
Reinildo Mandava,6,0,0.0,22.7,0
Aïssa Mandi,2,2,100.0,19.9,0
Rolando Mandragora,37,5,13.5,22.9,2
Sadio Mané,53,20,37.7,12.8,0
Orel Mangala,9,3,33.3,20.7,0
Thomas Mangani,9,0,0.0,27.1,2
Vito Mannone,0,0,,,0
Javier Manquillo,0,0,,,0
Myziane Maolida,6,2,33.3,17.2,0
Myziane Maolida,0,0,,,0
Faitout Maouassa,34,12,35.3,20.1,1
Sekou Mara,17,4,23.5,16.2,0
Marcão,0,0,,,0
Solly March,74,31,41.9,16.2,1
Agustín Marchesín,0,0,,,0
Federico Marchetti,0,0,,,0
Vincent Marchetti,37,9,24.3,22.8,1
Riccardo Marchizza,0,0,,,0
Gian Marco Ferrari,8,1,12.5,10.6,0
Emiliano Marcondes,0,0,,,0
Óscar de Marcos,4,2,50.0,20.3,0
Alberto Marí,2,1,50.0,10.7,0
