Cluster,Tkl,TklW,Blocks,blkSh,blkPass,Int,Clr,Gls,Ast,xG,npxG,xAG,PrgC,PrgR,Fls,Fld,Recov,aerWon,aerLost,passCmp,passAtt,KP,pass1/3,CrsPA,PrgP,Sh,SoT,SCA,Touches,Att_pos,SuccDrib,Carries,Rec
0,70.58287002253945,69.21652892561984,58.50879038317055,49.68955672426746,64.51938392186325,60.1717505634861,49.82614575507137,39.46679188580015,51.57535687453043,38.58662659654395,38.223516153268214,54.41780616078137,56.50646130728776,49.505259203606315,53.917355371900825,52.65138993238167,67.66821938392187,40.16498873027799,36.1221637866266,66.07197595792637,67.05830202854996,57.00480841472577,69.82381667918858,61.67986476333584,69.81532682193838,41.81172051089406,40.50818933132983,56.43959429000751,67.11495116453794,52.41878287002254,53.42081141998497,62.60443275732532,62.94177310293012
1,15.071463296062227,16.392416140009722,20.795916383082158,25.32367525522606,33.78901312591152,12.67263004375304,26.580262518230434,85.19299951385513,57.948663101604275,88.69363150218766,88.72668935342732,60.08439474963539,47.59805542051531,72.96490034030141,61.55002430724356,63.92202236266408,9.554691298006807,66.35546912980068,83.31278561011182,8.584540593096742,8.258629071463295,56.15167719980554,13.077297034516286,32.346135148274186,15.303646086533789,84.98259601361205,85.76762275157996,56.64073894020418,8.168400583373845,62.64637822070977,57.617501215362175,12.782498784637824,16.847642197374817
2,39.50085995085995,39.12518427518428,41.15393120393121,23.324692874692875,58.200122850122845,29.414987714987713,21.364250614250615,72.25282555282556,74.49164619164618,74.35380835380835,74.32248157248156,79.80356265356265,80.1590909090909,80.5539312039312,47.5982800982801,66.9463144963145,38.73722358722359,26.666339066339066,41.836240786240786,34.635749385749385,35.838574938574936,79.90737100737101,38.25859950859951,68.15675675675676,51.986240786240785,76.62469287469288,75.98476658476659,81.51081081081081,37.25651105651106,80.39250614250615,78.48427518427519,49.31916461916462,49.31658476658477
3,49.33155080213904,50.619518716577545,59.83172905525847,81.15347593582887,34.37950089126559,70.09866310160429,81.83778966131908,30.34349376114082,26.8421568627451,28.258912655971482,28.69723707664884,18.637611408199643,21.624866310160424,18.01729055258467,41.924153297682714,28.301960784313728,55.8716577540107,71.22165775401069,57.239839572192516,61.18547237076648,59.2921568627451,17.29590017825312,52.04723707664884,31.18582887700535,41.07762923351158,24.48645276292335,26.137254901960784,16.578966131907308,58.23761140819964,19.40748663101604,21.908110516934045,52.72219251336898,50.46069518716577
