Player,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att,Succ,Carries,CPA,Rec,PrgR
Adam Buksa,35,0,1,19,15,7,0,0,27,1,29,9
Marius Bülter,1117,21,130,419,585,136,96,32,660,24,773,199
Cristian Buonaiuto,652,11,62,282,319,49,47,20,395,9,421,89
Facundo Buonanotte,258,8,33,114,115,19,19,7,182,2,202,42
Alessandro Buongiorno,1938,161,860,976,110,33,16,6,986,2,1180,19
Delano Burgzorg,93,1,4,26,64,11,13,6,67,4,75,24
Jonathan Burkardt,180,2,19,65,99,37,20,11,128,6,139,46
Oliver Burke,118,0,4,41,73,13,6,2,77,5,93,36
Dan Burn,2073,158,786,940,358,62,25,11,926,5,1116,46
Maxime Busi,728,41,185,369,180,10,25,7,462,3,407,44
Sergio Busquets,2172,62,387,1427,373,14,16,11,1279,1,1551,32
Aurélio Buta,928,39,190,395,352,47,30,10,423,17,506,118
Leonardo Buta,14,0,2,7,5,0,0,0,10,0,12,1
Marcin Bułka,70,64,70,0,0,0,0,0,46,0,29,0
Jamie Bynoe-Gittens,251,5,32,80,147,37,55,20,179,18,192,38
Rémy Cabella,2030,16,162,922,966,136,78,40,1549,22,1477,242
Jimmy Cabot,432,13,88,162,193,19,24,12,282,8,247,65
Arthur Cabral,489,14,36,168,289,102,35,15,270,9,361,86
Leandro Cabrera,1642,198,723,802,125,40,9,6,763,1,893,8
Liberato Cacace,525,33,166,243,122,12,20,8,242,4,292,31
Anthony Caci,1370,81,458,667,261,20,21,9,667,1,681,41
Cafú,3,1,2,1,0,0,0,0,2,0,1,0
Moisés Caicedo,2603,91,555,1520,558,28,54,28,1507,6,1891,61
Tom Cairney,872,10,127,426,332,31,21,9,573,6,667,57
Jens Cajuste,969,41,223,533,231,40,79,39,728,10,663,40
Cala,59,13,37,21,1,1,0,0,19,0,22,0
Davide Calabria,1474,59,414,768,307,16,14,3,755,2,915,80
Mattia Caldara,791,145,450,304,46,17,5,2,380,0,361,4
Luca Caldirola,1636,219,891,674,75,12,3,1,978,0,1176,13
Fernando Calero,944,83,377,499,77,14,3,1,454,1,518,4
Duje Ćaleta-Car,695,136,416,268,15,9,2,2,387,0,429,0
Duje Ćaleta-Car,3,1,2,1,0,0,0,0,2,0,2,0
Hakan Çalhanoğlu,1942,34,367,1015,581,26,24,8,1167,6,1323,68
Kerim Calhanoglu,58,3,22,17,19,1,3,0,17,0,21,3
Daniel Caligiuri,200,12,65,88,52,5,11,5,82,1,83,8
Alexander Callens,111,11,53,53,5,0,0,0,76,0,72,1
Dominic Calvert-Lewin,376,20,39,143,200,59,28,15,186,10,286,56
Mahdi Camara,955,30,193,569,210,36,45,24,633,2,550,44
Mohamed Camara,393,10,61,262,81,8,13,7,233,2,241,14
Mohamed Camara,1574,44,344,1028,223,6,49,23,1236,1,1105,19
Ousmane Camara,11,0,0,3,8,1,1,0,7,0,5,1
Ousmane Camara,416,42,190,230,3,1,3,2,336,0,307,0
Eduardo Camavinga,1770,51,372,942,485,39,71,38,1162,12,1326,99
Nicolò Cambiaghi,638,9,87,255,311,56,57,22,442,23,464,99
Andrea Cambiaso,1790,70,620,771,423,40,60,31,1030,17,1148,105
Axel Camblan,46,0,6,17,24,9,4,1,28,1,30,9
Sergio Camello,782,29,51,337,406,101,46,18,483,17,561,122
Chem Campbell,47,1,6,19,23,5,4,2,39,1,36,10
Emre Can,1510,82,448,872,202,18,25,13,927,1,1015,12
Sergio Canales,1677,13,180,745,781,54,54,28,1051,5,1275,150
Matteo Cancellieri,134,2,20,50,66,16,9,3,88,9,97,33
João Cancelo,1363,20,225,686,461,47,61,31,840,21,1020,125
João Cancelo,1014,31,224,506,296,38,65,34,636,19,701,90
Antonio Candreva,1802,48,332,783,708,46,34,8,1093,10,1298,171
Thomas Cannon,8,0,0,2,6,4,1,0,6,0,7,2
Sergi Canós,57,1,13,25,20,2,6,4,29,0,36,7
Ander Capa,110,2,24,50,37,2,3,2,53,1,56,7
Pierrick Capelle,898,38,194,485,227,19,29,14,608,4,548,40
Étienne Capoue,1211,40,199,726,301,24,62,31,782,10,948,72
Gianluca Caprari,1364,7,128,668,577,103,91,40,884,42,1089,188
Francesco Caputo,309,4,11,126,172,49,9,3,181,7,243,76
Francesco Caputo,478,10,34,207,239,103,12,1,288,7,395,128
Maxence Caqueret,2162,60,333,1196,654,73,87,41,1650,11,1514,114
Andrea Carboni,104,4,41,43,20,4,3,1,50,0,66,2
Franco Carboni,61,2,17,28,21,1,7,3,34,1,36,8
Valentin Carboni,25,0,4,12,10,1,2,1,16,0,15,3
Isaac Carcelen,1212,119,438,550,239,12,21,14,494,3,550,62
Irvin Cardona,85,2,7,41,37,12,5,1,56,2,57,14
Irvin Cardona,120,7,16,40,64,16,7,4,68,1,72,17
Igor Carioca,348,19,115,162,74,8,15,6,227,1,200,23
Diego Carlos,156,11,54,94,11,4,0,0,100,0,111,0
Juan Carlos,356,324,355,1,0,0,0,0,212,0,188,0
José Carlos Lazo,8,0,1,2,5,1,1,1,7,0,7,3
José Carlos Lazo,70,6,24,14,32,4,5,1,34,0,33,10
Carmona,265,20,83,93,92,14,20,9,143,6,116,27
Carmona,400,33,147,196,60,6,6,2,227,2,249,8
Marco Carnesecchi,1036,906,1036,0,0,0,0,0,568,0,407,0
Yannick Carrasco,1404,32,230,456,745,160,124,60,822,71,922,264
Dani Carvajal,1512,85,412,580,526,39,17,9,864,3,1049,147
Fabio Carvalho,193,2,31,75,91,26,6,2,122,2,145,26
Matis Carvalho,56,44,56,0,0,0,0,0,32,0,19,0
William Carvalho,1979,40,303,1323,370,37,52,29,1276,7,1591,52
Nicolò Casale,1803,215,871,917,27,14,3,1,1102,0,1246,3
Casemiro,1758,110,531,949,293,24,20,9,850,1,1103,34
Casemiro,11,1,3,8,0,0,0,0,7,0,7,0
Matty Cash,1215,76,423,545,258,11,33,16,610,4,652,57
Tommaso Cassandro,8,1,4,3,1,0,0,0,2,0,3,0
Timothy Castagne,2237,158,820,920,508,52,30,11,989,5,1246,149
Michele Castagnetti,941,33,209,560,184,9,12,8,449,0,551,10
Koen Casteels,1653,1196,1636,17,1,1,0,0,1030,1,884,0
Valentín Castellanos,672,28,65,278,343,123,43,14,361,11,478,128
Jean-Charles Castelletto,1650,164,691,876,89,24,18,11,1112,0,959,20
Samu Castillejo,840,2,81,345,422,49,65,23,561,11,604,115
Jonny Castro,1004,53,343,444,227,13,32,14,499,4,600,46
Gaetano Castrovilli,324,15,56,148,127,22,16,7,176,0,200,16
Danilo Cataldi,1487,80,370,954,174,0,18,6,752,0,1044,14
Catena,2120,282,1160,930,41,24,2,2,1220,0,1348,2
Yoann Cathline,548,16,122,169,267,29,63,23,410,10,369,106
Maximiliano Caufriez,1367,206,688,595,93,14,13,5,1006,1,873,13
Edinson Cavani,476,13,54,217,208,54,10,4,230,3,356,53
Dani Ceballos,1690,29,258,986,465,34,66,40,1243,7,1366,60
Pietro Ceccaroni,22,4,9,10,3,1,0,0,7,0,7,1
Federico Ceccherini,780,86,308,386,96,15,3,2,368,2,409,20
Assan Ceesay,642,28,69,270,311,71,36,22,304,8,417,111
Emil Ceide,233,1,30,80,124,39,25,8,160,23,182,47
Zeki Çelik,1102,43,350,491,276,18,16,6,522,6,604,76
Álex Centelles,686,55,269,244,180,7,14,6,341,1,368,48
Fabien Centonze,1217,87,331,564,332,13,66,38,757,5,671,125
Michele Cerofolini,202,165,201,1,0,0,0,0,123,0,121,0
Franco Cervi,1143,16,219,496,437,50,51,21,637,8,650,113
Julian Chabot,1434,228,831,572,35,17,8,4,765,1,825,2
Florian Chabrolle,170,6,20,113,39,0,1,0,121,0,108,8
El Chadaille Bitshiabu,515,56,214,283,21,2,2,1,428,0,396,8
Fares Chaïbi,1314,48,194,606,531,86,36,12,997,18,970,212
Nathaniel Chalobah,11,4,5,3,3,1,0,0,6,0,8,0
Trevoh Chalobah,1369,135,602,604,167,23,10,8,784,1,973,27
Muhammed Cham,1268,12,148,614,527,61,65,31,1010,11,967,120
Calum Chambers,245,30,119,96,32,2,0,0,139,0,149,2
Timothy Chandler,71,2,14,32,25,2,4,1,28,1,37,6
Gaëtan Charbonnier,120,5,11,67,43,14,4,2,91,0,92,18
Brendan Chardonnet,1587,175,836,707,55,27,3,3,1072,0,949,7
Shea Charles,32,5,14,18,0,0,0,0,20,0,19,0
Xavier Chavalerin,1337,72,427,677,240,38,17,9,939,5,840,49
Pep Chavarría,229,8,37,75,120,8,16,7,113,1,122,25
Ivane Chegra,67,0,17,30,22,1,8,3,44,1,38,5
Pape Cheikh Diop,20,2,7,13,0,0,1,0,13,0,14,0
Rayan Cherki,1364,3,83,552,758,141,157,79,1145,61,1107,260
Ilyes Cheti,150,14,62,67,22,1,2,0,99,0,79,7
Lucas Chevalier,1060,832,1057,3,0,0,0,0,858,0,638,0
Fabio Chiarodia,29,6,16,11,2,1,0,0,9,0,12,0
Federico Chiesa,476,4,56,166,265,49,45,24,293,16,331,88
Ben Chilwell,1133,23,284,426,426,36,23,8,629,8,722,131
Vlad Chiricheș,554,120,358,194,6,2,4,3,250,0,280,1
Pedro Chirivella,1494,22,225,1071,206,10,15,8,1196,1,1103,22
Joris Chotard,1339,98,409,765,178,14,26,13,879,2,754,28
Andreas Christensen,1652,127,645,962,50,13,2,0,1170,0,1257,5
Oliver Christensen,1306,1001,1294,12,0,0,2,1,709,0,542,0
Ryan Christie,940,39,187,421,350,61,86,37,559,13,592,71
Carney Chukwuemeka,262,5,47,106,112,17,11,6,154,3,184,21
Samuel Chukwueze,1241,15,131,437,696,143,178,86,876,71,974,261
Darko Churlinov,5,1,2,3,0,0,0,0,1,0,1,0
Víctor Chust,533,71,291,237,13,6,3,1,246,1,305,2
Tolga Ciğerci,498,17,128,293,81,0,10,5,194,0,267,2
Yanis Cimignani,148,5,23,64,61,2,6,2,91,0,87,17
Daniel Ciofani,307,14,25,119,163,51,4,0,152,1,217,36
Tio Cipot,83,2,16,32,42,5,7,3,47,1,54,17
Pathé Ciss,891,57,243,543,114,19,11,5,480,1,518,5
Souleymane Cissé,19,4,11,6,2,1,1,0,13,0,10,1
Patrick Ciurria,1604,46,396,694,534,51,54,18,877,9,1062,168
Bobby Clark,7,0,0,0,7,1,1,0,3,0,3,2
Alexis Claude-Maurice,39,4,9,18,12,0,0,0,24,0,25,1
Alexis Claude-Maurice,332,7,44,168,124,27,30,12,259,7,263,43
Jonathan Clauss,1757,57,326,737,720,114,63,32,1215,22,1081,240
Carlos Clerc,1714,131,596,761,370,25,56,26,884,2,950,91
Nathaniel Clyne,971,44,313,475,186,3,12,5,423,1,531,29
Conor Coady,1363,238,795,547,29,10,3,0,882,0,984,1
Nicolò Cocetta,14,4,8,6,0,0,0,0,6,0,6,0
Marcus Coco,347,13,74,152,131,22,15,7,232,4,210,56
Alexandre Coeff,428,62,224,176,31,1,2,0,309,0,290,9
Jack Colback,189,16,65,100,27,1,4,3,75,0,88,3
Séamus Coleman,990,81,334,416,246,21,36,16,457,3,481,37
David Čolina,109,7,28,51,34,2,13,4,45,0,33,7
Álex Collado,442,10,58,202,189,19,31,15,294,6,334,43
Diego Collado,8,0,0,2,6,1,0,0,3,0,6,3
Omar Colley,860,107,451,390,20,9,2,2,511,0,517,2
Nathan Collins,1339,208,801,500,45,13,8,7,724,2,922,5
Lorenzo Colombo,588,6,24,266,304,74,37,11,307,6,418,119
Andrea Colpani,538,8,55,267,232,31,41,20,371,8,412,69
Levi Colwill,1263,144,569,646,51,11,1,1,845,0,921,3
Kingsley Coman,1006,9,75,334,615,94,92,47,723,44,808,296
Eray Cömert,1129,162,598,510,33,10,2,2,680,1,691,1
Santi Comesaña,1544,34,229,927,405,58,58,35,830,8,1010,58
Andrea Consigli,1480,1194,1468,11,1,0,0,0,873,0,761,0
Abdu Conté,869,48,285,385,206,19,17,2,591,6,542,91
Andrea Conti,11,0,0,8,3,0,0,0,4,0,6,2
Lewis Cook,935,67,290,472,184,9,19,7,426,1,517,10
Steve Cook,559,100,321,220,19,10,1,1,284,0,350,0
Liam Cooper,970,103,499,440,37,21,4,1,477,1,501,2
Copete,1166,155,575,538,67,17,21,19,591,1,633,3
Diego Coppola,693,66,337,302,61,9,4,2,312,0,320,8
Francis Coquelin,391,17,63,224,107,18,6,2,200,1,286,27
Sébastien Corchia,468,27,116,200,162,10,11,3,288,4,251,65
Alex Cordaz,21,19,21,0,0,0,0,0,13,0,11,0
Maxwel Cornet,140,3,18,50,72,11,5,2,83,5,103,26
Jesús Corona,58,1,10,22,27,7,7,3,44,1,47,9
Ángel Correa,738,11,84,283,379,119,59,23,472,24,568,142
Joaquín Correa,384,2,25,183,183,37,32,14,260,9,301,61
Thierry Correia,1616,77,491,687,457,23,34,13,861,9,954,122
Alessandro Cortinovis,8,0,3,0,5,0,0,0,5,0,5,2
Danny da Costa,767,29,164,362,246,24,28,11,346,11,386,74
David Pereira da Costa,906,5,58,441,419,45,48,27,773,9,736,133
Diego Costa,335,19,37,140,161,59,10,5,180,11,245,60
Jaume Costa,1364,62,360,603,415,37,25,10,689,10,810,123
Logan Costa,280,40,150,119,15,8,3,1,207,1,186,0
Nuno da Costa,728,20,86,334,324,78,109,46,489,15,495,130
Samu Costa,1395,96,478,774,153,16,22,9,717,1,856,24
Benoît Costil,638,531,635,3,0,0,1,1,377,0,254,0
Vladimír Coufal,1433,104,435,580,424,21,17,3,578,2,665,109
Lassana Coulibaly,1540,86,399,933,245,17,93,48,917,7,962,59
Soumaïla Coulibaly,48,1,7,40,1,0,0,0,40,0,43,0
Tanguy Coulibaly,206,2,30,81,101,17,22,11,126,5,123,38
Thibaut Courtois,1209,1020,1205,5,0,0,2,2,824,0,704,0
Mathieu Coutadeur,1329,44,260,902,176,4,14,5,979,2,889,22
Philippe Coutinho,500,2,34,259,213,24,34,14,309,5,369,68
Yan Couto,734,20,184,295,266,20,60,28,447,12,482,89
Conor Coventry,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas Cozza,747,66,289,329,133,19,15,5,447,3,407,34
Nicolas Cozza,53,2,26,26,3,0,1,0,36,0,35,2
Alessio Cragno,32,26,32,0,0,0,0,0,19,0,17,0
Matthew Craig,10,1,3,5,2,0,0,0,5,0,6,0
Aaron Cresswell,1607,97,507,668,438,13,7,2,766,1,960,82
Bryan Cristante,1994,99,559,1257,196,39,13,9,1043,4,1290,27
Domen Črnigoj,160,5,36,95,32,6,4,2,64,1,89,9
Juan Cruz Armada,1163,103,404,562,206,4,15,6,543,1,620,55
Juan Cruz,63,0,6,19,39,8,7,3,38,3,39,15
Juan Cuadrado,1581,41,400,758,433,50,59,25,914,20,1057,125
Marc Cucurella,1490,63,470,672,358,12,14,5,787,2,906,65
Jorge Cuenca,461,65,232,219,10,5,0,0,280,0,308,1
Braian Cufré,110,5,28,54,28,2,3,2,57,0,59,9
Mickaël Cuisance,290,10,48,138,109,11,12,8,182,3,179,31
Matheus Cunha,372,14,66,170,147,45,39,26,195,7,224,43
Matheus Cunha,131,4,17,61,58,22,7,6,74,4,89,19
Curro,34,0,3,18,13,1,0,0,15,0,22,1
Marco D'Alessandro,141,1,37,55,52,10,5,1,80,5,89,19
Danilo D'Ambrosio,635,58,303,269,64,12,6,1,424,2,467,17
Luca D'Andrea,129,0,17,61,53,12,12,4,81,5,91,29
Damien Da Silva,295,17,105,166,25,3,2,1,206,0,200,1
Moanes Dabbur,408,2,27,196,191,42,29,13,256,6,304,61
Andréa Dacourt,0,0,0,0,0,0,0,0,0,0,0,0
Colin Dagba,617,22,148,258,220,20,25,11,402,5,361,48
Finn Dahmen,294,226,288,7,0,0,0,0,190,0,111,0
Mahmoud Dahoud,302,9,64,183,56,2,5,3,153,1,218,4
Patson Daka,444,13,42,175,230,58,18,7,207,11,288,82
Thijs Dallinga,719,24,43,341,341,110,24,10,517,8,574,174
Diogo Dalot,1673,125,580,714,390,38,35,21,878,12,994,85
Muhammed Damar,94,1,17,49,29,6,6,0,49,1,65,7
Mikkel Damsgaard,529,9,104,268,166,27,23,9,279,1,307,45
Flavius Daniliuc,1374,200,757,572,58,16,5,2,727,0,843,5
Flavius Daniliuc,71,3,23,28,20,1,0,0,45,0,43,3
Danilo,383,26,118,182,92,21,19,14,171,6,171,22
Danilo,2597,271,1054,1304,257,45,23,7,1380,1,1685,43
Arnaut Danjuma,72,1,5,35,32,8,6,3,44,2,58,19
Arnaut Danjuma,135,2,11,39,86,23,8,3,88,8,103,35
Kévin Danois,3,0,0,3,0,0,0,0,0,0,0,0
Kevin Danso,2686,246,1036,1566,105,32,37,19,2008,1,1820,2
Dante,2991,346,1427,1505,75,31,13,8,2374,0,2177,3
Márton Dárdai,485,56,257,217,18,5,4,3,219,0,236,0
Sergi Darder,1980,43,276,1145,605,39,135,68,1214,9,1273,75
Achraf Dari,846,135,480,356,16,9,1,1,561,0,493,1
Vladimír Darida,20,0,5,6,9,0,1,1,7,0,8,1
Matteo Darmian,1564,94,580,754,241,23,25,9,914,4,1087,96
Josh Dasilva,770,17,144,342,298,32,56,32,536,9,562,69
David Datro Fofana,33,1,2,10,22,7,8,5,24,3,23,9
Juan David Cabal,279,29,134,136,16,1,4,3,139,0,141,8
Jonathan David,1224,23,87,529,622,214,78,29,973,39,947,297
Alphonso Davies,1859,51,446,912,545,84,140,70,1226,37,1229,158
Ben Davies,1482,95,514,749,223,29,15,5,835,4,1012,69
Tom Davies,309,13,74,183,54,15,6,3,150,0,201,13
Paweł Dawidowicz,1019,91,484,450,96,17,8,1,463,1,498,17
Craig Dawson,380,53,211,142,28,14,1,0,193,0,216,1
Craig Dawson,1084,182,619,437,32,15,4,3,628,0,748,1
Kevin De Bruyne,1860,13,100,743,1041,100,61,32,1129,16,1445,245
Charles De Ketelaere,533,10,50,241,252,60,59,36,313,14,351,69
Manuel De Luca,14,0,0,9,5,2,0,0,14,0,14,4
Tommaso De Nipoti,6,0,0,5,2,1,1,1,3,0,3,0
Rodrigo De Paul,1598,14,261,923,425,18,32,16,1026,3,1279,68
Mattia De Sciglio,652,30,190,338,127,4,9,2,343,0,406,40
Lorenzo De Silvestri,484,27,172,237,81,7,4,2,261,0,289,17
Thibault De Smet,1280,68,358,660,276,5,14,5,813,1,723,89
Koni De Winter,614,118,405,207,6,0,2,1,347,0,370,0
Grégoire Defrel,362,7,34,175,159,34,21,7,216,2,254,75
Duccio Degl'Innocenti,1,0,0,1,0,0,0,0,1,0,0,0
Brecht Dejaegere,879,21,114,478,303,43,50,19,649,5,613,96
Romain Del Castillo,892,6,82,413,416,45,70,28,618,12,586,125
Alberto Del Moral,1,0,0,1,0,0,0,0,1,0,1,0
Thomas Delaine,642,28,148,267,239,20,27,12,415,9,374,92
Thomas Delaney,188,8,52,108,28,7,0,0,113,1,138,3
Thomas Delaney,191,10,80,90,22,0,6,2,105,0,112,3
Sacha Delaye,19,0,6,9,4,1,0,0,9,1,8,0
Fran Delgado,8,0,1,3,4,1,0,0,3,0,7,3
Andy Delort,309,7,21,150,141,37,12,4,224,1,246,48
Andy Delort,193,2,10,78,105,32,9,6,125,1,131,44
Karamoko Dembele,115,1,8,48,61,10,6,2,90,3,86,26
Moussa Dembélé,299,9,24,135,143,50,12,4,200,5,215,66
Ousmane Dembélé,1041,2,30,311,719,103,114,52,755,56,841,209
Siriki Dembélé,71,1,10,30,33,3,10,6,47,1,50,11
Siriki Dembélé,159,0,25,57,82,13,31,19,127,8,114,29
Merih Demiral,832,140,495,319,28,14,9,2,348,1,374,4
Kerem Demirbay,1253,42,247,700,313,16,24,8,624,4,817,21
Ermedin Demirović,867,42,122,326,430,122,53,19,391,11,516,120
Diego Demme,205,6,30,153,22,0,4,2,143,0,183,1
Sepp van den Berg,419,50,250,152,19,12,4,1,223,0,217,3
Branco van den Boomen,2457,43,385,1362,726,38,38,19,1758,7,1682,102
Leander Dendoncker,365,21,102,219,46,7,5,3,171,1,207,2
Leander Dendoncker,128,6,33,75,21,5,2,1,60,0,77,3
Emmanuel Dennis,335,5,55,118,177,40,53,18,211,8,219,63
Fabio Depaoli,953,51,238,411,317,35,46,11,408,4,422,76
Fabio Depaoli,117,6,28,56,34,3,7,3,73,0,70,6
Kastriot Dermaku,2,0,0,2,0,0,0,0,0,0,0,0
Halil Dervişoğlu,1,0,0,0,1,0,0,0,2,1,2,0
Rémy Descamps,28,26,28,0,0,0,0,0,18,0,5,0
Mikkel Desler,1855,94,457,936,477,33,51,27,1269,9,1146,127
Cyriel Dessers,466,8,18,162,289,115,36,13,268,24,340,110
Sergiño Dest,246,7,75,116,61,3,18,8,134,0,137,12
Mattia Destro,139,6,12,59,68,26,8,4,79,3,102,20
Gerard Deulofeu,725,5,44,295,400,82,45,20,455,33,506,118
Kiernan Dewsbury-Hall,1490,48,278,795,443,50,74,40,903,16,1038,91
Samuel Di Carmine,9,0,0,4,5,2,1,1,6,0,6,2
Federico Di Francesco,745,14,88,288,383,82,49,17,447,18,500,177
Michele Di Gregorio,1607,1324,1600,7,0,0,2,2,973,0,841,0
Giovanni Di Lorenzo,2957,104,715,1476,788,94,33,12,1842,4,2119,182
Ángel Di María,851,2,71,372,426,46,80,32,552,13,640,95
Boulaye Dia,885,31,113,427,364,75,88,35,610,13,673,140
Moussa Diaby,1279,3,88,539,666,139,105,51,849,55,1040,258
Mouctar Diakhaby,1452,188,711,659,90,52,10,5,823,1,868,11
Mamadou Diakhon,10,0,2,4,4,1,2,1,6,0,4,1
Bafodé Diakité,2189,84,545,1252,411,39,30,19,1569,7,1460,67
Ibrahim Diakité,83,4,30,32,23,1,3,1,46,0,37,6
Abdou Diallo,443,57,203,216,27,8,5,3,277,1,305,3
Baila Diallo,55,3,13,18,24,4,1,0,25,2,26,9
Habib Diallo,1007,34,90,430,494,192,71,29,665,20,768,203
Ibrahima Diallo,499,18,128,308,74,4,13,8,287,0,294,6
Ismael Diallo,1309,95,517,633,177,3,34,14,832,0,682,36
Habib Diarra,867,12,132,413,336,41,62,25,649,18,574,89
Mamady Diarra,21,0,6,9,6,3,3,1,14,1,9,0
Moussa Diarra,789,56,296,344,153,8,24,9,546,1,489,43
Stéphane Diarra,525,19,123,204,218,40,78,24,381,20,306,85
Youba Diarra,66,10,27,41,1,0,0,0,33,0,33,1
Rúben Dias,2237,176,881,1280,83,22,10,8,1497,1,1791,2
Krépin Diatta,1011,13,93,367,560,88,61,32,745,28,720,229
Mory Diaw,1561,1266,1549,12,0,0,1,1,1064,0,698,0
Brahim Díaz,990,6,63,538,413,65,86,39,691,17,763,116
Luis Díaz,618,4,47,247,336,77,65,32,440,22,500,116
Justin Diehl,3,0,0,0,3,0,1,0,3,0,4,1
Bamba Dieng,76,1,4,39,34,15,3,2,54,2,58,23
Bamba Dieng,259,6,26,131,105,36,31,9,193,4,195,48
Eric Dier,2274,370,1333,866,84,25,6,3,1368,1,1600,14
Florian Dietz,137,3,4,62,72,25,7,1,68,4,99,22
Lucas Digne,1096,64,365,396,342,24,18,3,552,2,625,89
Federico Dimarco,1451,40,312,552,600,72,20,5,776,6,955,189
Stole Dimitrievski,1194,993,1185,9,0,0,0,0,619,0,426,1
Junior Dina Ebimbe,689,33,175,353,175,38,44,17,344,8,398,42
Tristan Dingomé,88,0,9,41,38,5,2,1,66,1,61,4
Eren Dinkçi,131,2,8,51,75,20,14,4,79,3,92,24
Sinaly Diomande,1711,120,693,902,120,14,20,10,1241,0,1147,8
Lois Diony,196,1,4,85,110,30,11,3,141,3,163,64
Edan Diop,167,2,20,68,83,16,11,3,119,2,111,29
Issa Diop,1606,191,828,762,28,9,5,3,1026,0,1115,4
Sofiane Diop,876,14,133,431,324,34,49,22,695,10,638,91
Sofiane Diop,48,0,0,14,35,5,5,1,33,3,32,10
Yehvann Diouf,1138,914,1131,7,0,0,2,2,843,0,543,0
Axel Disasi,2293,234,832,1326,161,51,29,21,1662,5,1484,17
Tiago Djaló,1780,173,763,976,57,18,14,5,1409,1,1272,4
Djené,1418,117,599,716,120,11,28,18,754,0,745,20
Moussa Djenepo,358,16,103,158,102,16,42,19,197,6,182,39
Koffi Djidji,1678,129,754,844,90,8,5,4,919,0,1123,13
Alexander Djiku,1873,241,878,932,74,26,6,4,1173,1,1035,4
Berat Djimsiti,1294,140,647,587,64,15,7,4,700,1,817,9
Moussa Djitte,50,1,5,25,21,2,4,0,36,0,38,12
Ouparine Djoco,41,26,39,2,0,0,0,0,27,0,22,0
Marko Dmitrović,540,455,539,1,0,0,0,0,268,0,209,0
Alan Do Marcolino,3,1,1,2,0,0,0,0,4,0,4,0
Ben Doak,22,0,4,10,10,2,4,0,16,2,15,4
Ritsu Doan,1038,18,125,430,508,103,129,50,636,35,690,167
Dodô,1719,52,464,813,462,24,62,34,1028,7,1083,104
Danilho Doekhi,1209,116,563,553,99,27,7,3,640,1,703,21
Matt Doherty,500,27,144,184,172,24,12,5,247,2,306,57
Matt Doherty,11,0,6,3,2,0,0,0,6,0,6,1
Josh Doig,705,27,191,276,256,27,54,23,336,5,360,61
Jeremy Doku,744,5,71,292,419,89,159,96,643,47,576,156
Kasper Dolberg,46,5,7,23,17,5,3,1,28,0,31,9
Kasper Dolberg,148,10,23,56,71,16,8,3,82,2,96,20
Carlos Dominguez,46,11,32,15,1,0,1,1,20,0,18,0
Nicolás Domínguez,1703,47,308,991,419,37,37,23,908,5,1170,84
John Donald,542,49,236,273,33,7,7,5,313,0,318,2
Giulio Donati,349,26,151,159,44,1,3,1,219,0,259,8
Kyliane Dong,77,0,7,32,41,8,11,5,61,4,60,18
Jordan Dongmo,13,0,0,9,4,0,1,0,11,0,11,0
Gianluigi Donnarumma,1021,909,1016,6,0,0,1,1,695,0,447,0
Niklas Dorsch,237,24,95,121,27,0,8,5,99,0,100,0
Jodel Dossou,101,1,13,40,51,9,21,8,67,2,64,23
Lohann Doucet,92,5,20,59,14,1,2,1,63,0,54,1
Abdoulaye Doucouré,713,18,156,327,242,45,33,20,371,7,440,66
Cheick Doucouré,1577,94,444,894,255,15,21,15,761,1,884,17
Siriné Doucouré,86,0,8,35,44,12,15,7,65,1,71,20
Désiré Doué,651,10,61,351,254,34,79,48,502,9,463,83
Guela Doué,11,0,2,6,3,0,0,0,8,0,8,0
Ismaël Doukouré,1340,85,467,784,108,3,45,29,953,2,830,20
Kamory Doumbia,708,14,93,368,254,37,36,18,536,3,486,82
Souleyman Doumbia,1183,52,341,586,276,20,77,27,786,11,703,95
Flynn Downes,405,14,74,265,68,5,2,1,224,1,276,11
Kami Doyle,6,0,2,3,1,0,1,0,4,0,7,0
Bartłomiej Drągowski,1265,1027,1258,7,0,0,0,0,757,0,646,0
Cody Drameh,44,1,7,26,11,0,1,1,17,0,23,3
Dion Drena Beljo,371,18,45,190,140,29,15,7,184,4,275,42
Dominick Drexler,628,20,113,304,223,41,21,10,324,2,374,69
Domingos Duarte,1246,178,677,538,35,22,6,5,583,0,621,0
Martin Dúbravka,59,55,59,0,0,0,0,0,38,0,23,0
Marvin Ducksch,1251,50,116,463,676,149,38,15,576,24,762,215
Ondrej Duda,573,20,86,363,131,11,34,20,311,0,302,22
Ondrej Duda,360,5,37,205,120,14,21,9,220,3,241,33
Shane Duffy,22,3,13,9,1,1,1,1,9,0,12,0
Rémy Dugimont,82,5,14,27,42,4,1,0,60,0,60,12
Denzel Dumfries,1263,42,266,551,467,99,52,18,674,23,785,172
Alfred Duncan,634,10,92,371,179,9,23,12,348,4,434,30
Lewis Dunk,3461,428,1665,1712,97,34,5,4,2294,0,2586,5
Maxime Dupé,1372,1064,1364,7,1,1,2,2,941,0,686,0
Jhon Durán,57,3,3,26,29,6,2,1,33,1,41,13
Pablo Durán,29,3,8,10,11,0,3,1,14,0,16,3
Julien Duranville,20,0,2,3,15,0,3,3,16,0,17,4
