Player,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att,Succ,Carries,CPA,Rec,PrgR
Daniel Amartey,1279,185,658,578,46,9,5,2,779,0,909,5
Amath,464,12,70,171,229,40,34,14,261,12,283,69
Jordan Amavi,119,8,33,65,23,1,1,0,42,1,44,5
Lukáš Ambros,9,1,3,5,1,0,1,0,4,0,4,0
Kelvin Amian,1395,110,506,512,383,47,30,16,623,3,720,72
Bruno Amione,20,9,17,4,0,0,0,0,7,0,4,0
Bruno Amione,1263,139,715,479,83,24,10,2,663,0,691,9
Nadiem Amiri,624,16,119,339,174,15,38,18,352,7,430,30
Samuel Amo-Ameyaw,8,0,1,5,3,0,4,3,4,0,5,0
Ethan Ampadu,1889,229,930,841,140,19,12,9,1007,0,1090,10
Sofyan Amrabat,1641,45,298,1106,256,6,17,12,1054,1,1196,24
Ayoub Amraoui,210,10,69,93,50,1,4,2,165,0,156,18
Joachim Andersen,2303,355,1232,996,89,39,9,5,1318,2,1498,7
Elliot Anderson,286,7,44,99,151,39,29,10,160,12,182,35
Felipe Anderson,1832,32,236,830,790,129,105,54,967,31,1367,224
Benjamin André,2743,120,626,1774,363,35,36,19,2057,0,1892,46
Marcos André,125,1,8,50,69,23,17,9,78,0,94,20
Komnen Andrić,597,14,44,346,210,52,15,6,431,4,480,88
Robert Andrich,1724,113,540,1021,171,19,7,5,743,1,1073,8
Angeliño,1798,78,506,771,533,32,28,13,818,4,966,120
Fabrizio Angileri,324,17,88,157,80,3,11,4,123,0,145,14
Jaidon Anthony,717,23,150,271,304,33,47,15,423,13,464,72
Janis Antiste,23,0,7,9,7,1,1,0,14,0,16,2
Waldemar Anton,2435,244,1128,1083,249,36,38,19,1383,4,1531,52
Josep Antoni Gayá,19,10,15,3,1,0,0,0,6,0,4,0
José Antonio,15,0,2,4,9,0,4,1,13,0,11,2
Marcos Antônio,493,29,117,331,49,1,5,4,296,1,370,8
Michail Antonio,596,15,39,262,308,80,66,27,375,18,476,120
Antony,1066,12,134,348,609,85,77,30,763,32,813,168
Valentin Antov,267,34,127,121,19,0,1,1,138,0,174,3
Christopher Antwi-Adjei,996,7,102,304,605,63,80,31,525,20,560,231
Anuar,70,8,20,30,20,8,4,2,37,3,41,4
Houssem Aouar,461,6,51,279,134,28,23,10,365,4,349,36
Adil Aouchiche,192,7,30,104,61,8,7,2,149,1,137,20
Dennis Appiah,554,37,158,292,113,4,18,6,372,0,339,51
Stredair Appuah,43,0,4,21,20,2,5,4,27,2,26,10
Mauro Arambarri,514,30,118,304,102,3,4,4,234,0,248,7
Charles Aránguiz,368,9,84,225,61,8,7,4,172,0,244,7
Ronald Araújo,1437,109,487,882,77,29,14,10,957,1,1022,11
Cameron Archer,15,0,1,8,7,3,1,1,15,1,13,3
Taïryk Arconte,35,1,4,10,22,5,5,3,22,2,23,8
Alphonse Areola,98,91,98,0,0,0,0,0,53,0,42,0
Adu Ares,69,2,5,18,46,3,9,5,51,1,49,19
Joe Aribo,566,14,87,269,222,46,39,17,294,7,354,64
Adam Armstrong,458,11,71,176,222,46,43,13,255,11,273,70
Stuart Armstrong,864,21,133,403,341,37,52,22,539,10,596,88
Marko Arnautović,618,14,44,325,255,57,27,13,361,6,496,116
Maximilian Arnold,1927,113,470,1108,364,11,17,8,974,1,1064,19
Mohamed El Arouch,4,0,3,1,1,0,1,0,2,0,0,0
